full_name,drivers_license~number,drivers_license~issue_date,drivers_license~exp_date,drivers_license~restrictions,home~state,height,format_height,format_weight
Mercedes Kathleen Fields,O01UKRP8,2091-03-03,2099-03-03,D - Daytime Only,Virginia,68.9,"5' 9""",142 lbs
Ryan Colton Sparks,V48NTMX3,2096-12-14,2104-12-14,None,Kentucky,67.3,"5' 7""",157 lbs
Erik Daniel Spencer,W31TQLG2,2099-06-17,2107-06-17,None,Minnesota,67.3,"5' 7""",190 lbs
Donna Kirsten Collins,W14MHYO5,2090-10-25,2098-10-25,None,Idaho,59.2,"4' 11""",146 lbs
Amy Krista Mitchell,S71ZOQL0,2099-05-15,2107-05-15,B - Corrective Lenses,Rhode Island,69.0,"5' 9""",156 lbs
Nicholas Louis Taylor,Q30AQGA2,2097-03-25,2105-03-25,None,New Mexico,67.3,"5' 7""",222 lbs
Joseph Frank,N53JRAW8,2098-07-19,2106-07-19,None,Ohio,73.7,"6' 2""",166 lbs
Wayne Jon Bartlett,C59RNRG0,2097-01-09,2105-01-09,None,North Carolina,70.1,"5' 10""",175 lbs
Timothy Sean Chavez,H44RPFT3,2098-03-08,2106-03-08,None,New Hampshire,71.5,"6' 0""",211 lbs
Cindy Sparks,S61NHFM8,2096-09-19,2104-09-19,None,Kentucky,60.4,"5' 0""",153 lbs
Gabrielle Emily Evans,B32MILR7,2099-05-09,2107-05-09,B - Corrective Lenses,West Virginia,63.1,"5' 3""",139 lbs
Tracy Connie Carter,T55HLAP5,2091-08-25,2099-08-25,None,Nevada,59.9,"5' 0""",109 lbs
James Tristan Callahan,Y61GHAH6,2097-09-14,2105-09-14,None,Nevada,72.4,"6' 0""",236 lbs
Jason Roger Stephens,O73MMJB4,2094-08-15,2102-08-15,None,California,76.1,"6' 4""",218 lbs
Mark Hayes,D17CVDA3,2091-09-23,2099-09-23,None,Indiana,67.1,"5' 7""",200 lbs
Brittany Casey Berry,O49MGHW8,2097-11-03,2105-11-03,None,Texas,55.6,"4' 8""",132 lbs
Tracie Amy Washington,Q87WLTA5,2092-01-13,2100-01-13,None,Rhode Island,70.0,"5' 10""",155 lbs
Tiffany Amanda Griffith,Y91BYWA9,2093-01-08,2101-01-08,None,Texas,68.3,"5' 8""",135 lbs
Brian Mark Collins,A41JXKA3,2086-01-28,2094-01-28,None,Idaho,69.1,"5' 9""",187 lbs
Cynthia Michelle Reynolds,Z58UCLQ0,2093-04-13,2101-04-13,None,Tennessee,63.5,"5' 4""",141 lbs
Jeffrey Orr,K33ULPQ9,2097-08-25,2105-08-25,B - Corrective Lenses,Florida,74.7,"6' 3""",198 lbs
Jason Eric Peterson,G71EPMN8,2095-01-25,2103-01-25,D - Daytime Only,Tennessee,71.4,"5' 11""",168 lbs
Jason Johnny Blake,V31NTVW7,2098-08-09,2106-08-09,None,Rhode Island,68.6,"5' 9""",140 lbs
Samantha Monica Garcia,P35ZXDU3,2096-04-10,2104-04-10,None,Nebraska,62.5,"5' 2""",130 lbs
Richard James Moore,J75VSMD8,2098-11-17,2106-11-17,None,Oklahoma,64.3,"5' 4""",208 lbs
Jesse Sandoval,B09XODL3,2091-11-10,2099-11-10,None,Alabama,68.7,"5' 9""",180 lbs
Todd Hartman,C93WDJV6,2092-05-01,2100-05-01,None,Delaware,65.8,"5' 6""",175 lbs
Whitney Sharon Miller,K12DRKF4,2092-11-19,2100-11-19,None,Pennsylvania,63.3,"5' 3""",123 lbs
Laura Diaz,U08MBUU6,2094-10-24,2102-10-24,None,California,69.6,"5' 10""",123 lbs
Brittany Carol Brown,J35SGKX3,2094-07-16,2102-07-16,None,Kansas,61.3,"5' 1""",144 lbs
Matthew Brendan Ramirez,A32TXTS3,2096-12-08,2104-12-08,None,South Carolina,73.0,"6' 1""",170 lbs
Shannon Vickie Walters,C52OMJC0,2098-08-14,2106-08-14,None,Arizona,63.3,"5' 3""",159 lbs
Deanna Misty Peterson,S82HVKU0,2096-08-27,2104-08-27,None,Utah,64.9,"5' 5""",140 lbs
Levi Dean Buck,D76UGFP1,2091-02-28,2099-02-28,None,Nevada,70.7,"5' 11""",161 lbs
Daniel Mark Arias,G56YFDJ6,2099-04-09,2107-04-09,B - Corrective Lenses,Iowa,73.7,"6' 2""",156 lbs
Kurt Michael Higgins,D93GBJB9,2093-01-11,2101-01-11,None,Nevada,71.3,"5' 11""",178 lbs
Laurie Higgins,O99FREJ5,2097-04-06,2105-04-06,None,Maine,52.4,"4' 4""",155 lbs
Edward Hart,S30ELJM0,2091-07-31,2099-07-31,D - Daytime Only,Maine,67.4,"5' 7""",150 lbs
Michael Julian Hart,B88NTUC6,2095-02-15,2103-02-15,B - Corrective Lenses,Minnesota,69.3,"5' 9""",195 lbs
Amanda Donna Hart,M99QDZX2,2095-12-21,2103-12-21,None,Indiana,55.9,"4' 8""",132 lbs
Bailey Mcgee,Y99BKZC8,2096-09-22,2104-09-22,None,Wisconsin,65.1,"5' 5""",146 lbs
Michael Mcgee,F01RUDK2,2096-07-27,2104-07-27,B - Corrective Lenses,Delaware,72.4,"6' 0""",175 lbs
Audrey Sara Higgins,B85XTDM1,2090-01-12,2098-01-12,B - Corrective Lenses,Nevada,66.0,"5' 6""",135 lbs
Danielle Dawn Wilson,Q72KDVM4,2098-09-04,2106-09-04,None,Iowa,61.5,"5' 2""",142 lbs
Ellen Morgan Tucker,I06OZTJ7,2092-06-12,2100-06-12,B - Corrective Lenses,Texas,69.7,"5' 10""",146 lbs
Melissa Denise Blake,B42BGIW8,2091-03-22,2099-03-22,None,Rhode Island,67.4,"5' 7""",124 lbs
Richard Jeffrey Williams,J49VUNN2,2093-06-11,2101-06-11,None,Texas,67.7,"5' 8""",222 lbs
Carmen Williams,E47JAMI0,2097-06-16,2105-06-16,None,Maine,59.0,"4' 11""",150 lbs
Mary Michelle Gonzalez,Z38TKUF7,2097-11-25,2105-11-25,None,Ohio,61.1,"5' 1""",148 lbs
Jonathan Stephen Alvarez,T56NAQZ1,2094-04-19,2102-04-19,None,Indiana,64.8,"5' 5""",178 lbs
Jessica Becky Walters,J75NKCD4,2094-10-24,2102-10-24,None,Illinois,64.0,"5' 4""",158 lbs
Tammy Rachel Alvarez,A84EWBV4,2097-08-05,2105-08-05,None,Massachusetts,60.3,"5' 0""",164 lbs
Sean Jeffery Walters,C48OYKF8,2092-12-31,2100-12-31,None,Illinois,67.0,"5' 7""",203 lbs
Dalton Mark Walters,L94ECJC0,2092-04-16,2100-04-16,None,Arizona,76.0,"6' 4""",184 lbs
Nancy Courtney Garcia,C57IEQG4,2094-04-18,2102-04-18,None,Illinois,56.3,"4' 8""",126 lbs
Jennifer Catherine Hart,I26NFJQ1,2091-11-30,2099-11-30,B - Corrective Lenses,Maine,63.3,"5' 3""",147 lbs
Maxwell Adrian Sherman,A22FMAP3,2093-05-08,2101-05-08,B - Corrective Lenses,New Hampshire,71.2,"5' 11""",155 lbs
David Mark Peterson,S56WRZO4,2091-01-24,2099-01-24,None,Utah,65.0,"5' 5""",166 lbs
Cathy Samantha Peterson,E76GPVQ8,2095-11-08,2103-11-08,None,Alaska,59.7,"5' 0""",132 lbs
Margaret Hannah Carrillo,Y98DVFW9,2096-06-19,2104-06-19,None,Hawaii,64.3,"5' 4""",164 lbs
Travis David Blake,I53FUNS3,2099-10-31,2107-10-31,None,Rhode Island,65.6,"5' 6""",218 lbs
Brandon Matthew Blake,I04NAQL6,2097-03-19,2105-03-19,None,Georgia,78.5,"6' 6""",141 lbs
Shelley Melanie Ryan,L58GPJQ4,2091-02-18,2099-02-18,None,Ohio,65.0,"5' 5""",136 lbs
Sarah Ryan,J77PXRB1,2092-08-11,2100-08-11,None,New Hampshire,65.5,"5' 6""",147 lbs
Teresa Ryan,Z25WKGP0,2096-06-25,2104-06-25,None,California,69.6,"5' 10""",150 lbs
Nicole Blake,E87ZWZW9,2096-06-27,2104-06-27,None,Georgia,56.9,"4' 9""",143 lbs
Tyler Mark Sparks,F18XXVC5,2094-05-19,2102-05-19,None,Pennsylvania,68.9,"5' 9""",140 lbs
Kelsey Paula Walters,X40RNBQ2,2092-11-29,2100-11-29,None,Mississippi,60.8,"5' 1""",147 lbs
Christian Peterson,N42OSJZ1,2098-10-07,2106-10-07,None,Indiana,72.9,"6' 1""",218 lbs
Christina Kendra Higgins,E70WVMT7,2095-02-02,2103-02-02,None,District of Columbia,56.3,"4' 8""",160 lbs
Elizabeth Pamela Hart,X13IUBL2,2092-02-12,2100-02-12,None,North Carolina,65.3,"5' 5""",139 lbs
Sarah Nicole Peterson,K04MTAV6,2096-10-03,2104-10-03,None,Indiana,64.2,"5' 4""",153 lbs
Scott Richard Walters,R82ZSFA1,2090-07-27,2098-07-27,None,Mississippi,69.6,"5' 10""",209 lbs
Jeremy Gregory Walters,D84UVQL6,2091-12-02,2099-12-02,B - Corrective Lenses,Utah,73.8,"6' 2""",174 lbs
Jessica Sarah Walters,M60YCMT7,2094-09-07,2102-09-07,None,Indiana,67.2,"5' 7""",143 lbs
Cynthia Erica Blake,T19VMKB3,2099-11-14,2107-11-14,None,New Hampshire,67.3,"5' 7""",140 lbs
Megan Rebecca Blake,K25NUNT4,2092-07-06,2100-07-06,None,Hawaii,66.3,"5' 6""",134 lbs
Anthony Bryan Blake,F60EANZ4,2092-10-01,2100-10-01,D - Daytime Only,New Hampshire,84.7,"7' 1""",195 lbs
Anna Stephanie Blake,E90ZYBV5,2095-09-27,2103-09-27,None,Massachusetts,64.4,"5' 4""",146 lbs
Mary Sabrina Blake,D23HTUO3,2094-05-31,2102-05-31,None,West Virginia,65.6,"5' 6""",165 lbs
Karen Nancy Blake,M44XZLU4,2096-02-28,2104-02-28,None,Delaware,66.9,"5' 7""",137 lbs
