full_name,vehicle~make,vehicle~model,vehicle~year,vehicle~color,vehicle~body_type,vehicle~license_plate_num,vehicle~vin
Jessica Linda Mitchell,Ford,F150 Regular Cab,1994,Gray,Pickup,710 9OJ,P9APKF8OUYIRAF75L
Gabriel Philip Buck,Chevrolet,Astro Cargo,1999,Gold,Van/Minivan,4MMC193,3SOJMSBMV37ZZDL8D
Emily Julie Copeland,Chevrolet,Suburban,2017,Brown,SUV,HSI 372,VSYX6E1NUFE76IL64
David Robert Bryant,Chevrolet,Camaro,1993,Green,Hatchback,743 FYI,OLFT5C07CFAUQ1C22
Marissa Katherine Johnson,Mercedes-Benz,CL-Class,2002,Blue,Coupe,914CW,MOZQ1Z7QBHSNI72JT
Betty Tiffany Miller,Mercedes-Benz,CLS-Class,2013,Red,Coupe,SWA-4303,I5532RJIF5KP0P0W2
Jamie Shelby White,Dodge,Journey,2015,Gray,SUV,95-07562,09VZYNYKYQWY148OJ
Richard Bryan Larsen,Audi,TT,2005,Black,"Coupe, Convertible",7U LQ562,9OLA8Z0FI5A35ZFQP
Stacey Santos,GMC,Sonoma Extended Cab,2003,Black,Pickup,660 XTS,8JMLZ0TNQ4K5TRJVK
Joy Gail Rowe,BMW,X5,2008,Red,SUV,3BF8257,7W5CNCSX84Y5CG4FS
Steven Benjamin Larsen,Toyota,Prius c,2015,White,Hatchback,LQV 567,C7VU0VF3HXXNFPOMA
Briana Evans,Isuzu,i-370 Crew Cab,2008,White,Pickup,9N 54833,6ZW256YD1PY3THX5M
Jessica Kristi Carson,Lotus,Exige,2009,Gray,Coupe,71KP2,DRLI2LWGSBINRRTD0
Erika Jennifer Munoz,Pontiac,Grand Prix,1993,Black,"Sedan, Coupe",DTY6834,8M0SCDDXLPKSANC1T
Jillian Ashley Young,Ford,Econoline E350 Super Duty Passenger,2000,Red,Van/Minivan,LHG 833,EO3JW9B18IGNK27NE
Laura Kimberly Hammond,Chevrolet,Express 1500 Cargo,2013,White,Van/Minivan,691-WIO,K0VPFTUXL5P10GVAC
Michael Hector Barry,Kia,Sedona,2014,Blue,Van/Minivan,683S,JZK1TCTYWM0DJM830
Jeffrey Mark Carson,Honda,del Sol,1994,Silver,Coupe,XUN-264,SRNXVH0SB9HHC3P1L
Andrea Elizabeth White,Hyundai,Sonata,1999,Blue,Sedan,DKA-2278,DW87GB1UF3D0LY6WC
Hayden Tracy David,Chevrolet,Express 2500 Passenger,2004,Gray,Van/Minivan,64OJ0,K4XOKUXTI86UOYI92
Devon Daniel Riley,Jeep,Patriot,2015,Black,SUV,WVU-2064,V01Z3K0BRI2TRDKPX
Julie Johnson,Volvo,940,1995,Black,"Sedan, Wagon",KNG 709,IC7157XXYFN4Y8ATL
Scott Jose Murphy,BMW,i8,2016,White,Coupe,614-TSHA,0E798RV4FDVIN3HBX
Christopher Andrew Hall,MAZDA,B-Series Cab Plus,2001,Blue,Pickup,490 BZD,GQOTQEL6741NI2ED9
Jason Michael Mitchell,Buick,LaCrosse,2012,Silver,Sedan,NYW-251,KAHMJDEFQZIEKQS1X
Alisha Tanner,Buick,Regal,2011,Red,Sedan,KIF 032,IBTZ3WM7V2YUO6EWM
Gregory Gonzales,Aston Martin,Rapide,2010,Black,Sedan,HXF 623,SBRJ60694FOOO752H
Elizabeth Ashley Lewis,Ford,F150 Super Cab,2000,Silver,Pickup,233 9ZM,MNPRKEGYMF683VIMC
Nicole Oliver,BMW,M5,1993,Black,Sedan,0X 1788M,33GKYBNB5JJJSGFHS
Brandon Paul Young,Nissan,GT-R,2009,Gray,Coupe,ZZW-1504,SMOFZASHGXUNEYIZN
Julie Danielle Paul,Ford,Mustang,2001,Gray,"Coupe, Convertible",446 DXR,LZ4LM8PPFE1OHQK0Z
Carolyn Grace Smith,Honda,Pilot,2020,Blue,SUV,4G141,9GW3V39UCH2XRPSWS
Corey Christopher Thomas,MAZDA,MAZDA3,2006,Black,"Sedan, Hatchback",TCV 052,AFUB3DBAR8WWQQRUL
Amy Wilson,Chrysler,Sebring,1998,Silver,"Convertible, Coupe",971 VBJ,95E8RAEUHREXYE1A5
James Jerry Perez,Mercedes-Benz,C-Class,2011,Black,Sedan,283 ENL,6FE44CA3V478U781P
Christopher Daniel Wright,Mercedes-Benz,G-Class,2015,Blue,SUV,12B V24,PQFH3NOTSF81PPAT3
Pamela Megan Aguirre,Buick,Lucerne,2006,Black,Sedan,426 AUX,5AUA2UUDPB7B7Z7EI
Adam Francisco White,MAZDA,CX-5,2018,Silver,SUV,5MK 545,GZFA4HJ866YFH9L8U
Danielle Cynthia Munoz,Ford,F250 Regular Cab,1995,Gray,Pickup,40DB983,C1ZSBKJP9DAQ2EMQ0
Derrick Adam Copeland,Suzuki,Verona,2006,Gray,Sedan,KYD 545,X2SPJK8E8LKZ89OIE
Jeremy Copeland,Dodge,Ram Wagon B350,1993,Black,Van/Minivan,714-ILE,91JBLVW8MZU71R148
Heather Kimberly Moody,Toyota,Prius,2007,Red,Hatchback,8CV 275,CQYSK0K9286ZZC7VU
James Gray,BMW,X4,2017,Blue,SUV,0ZV1103,PY0F2ZY4BRZWTW2LY
Carmen Stephanie Thomas,Volvo,XC70,2010,Blue,Wagon,LKB-6855,LA72GR9ZS1G4SXKW7
Aaron Travis Sullivan,Chevrolet,HHR,2006,Gray,Wagon,398MG,TQRK8V94NPSH3S7WW
Jennifer Heather Paul,Chevrolet,Tahoe (New),2000,Black,SUV,FVW-2137,HN9XEQWV1KHZIVLAG
Joshua Alex White,Nissan,cube,2009,Blue,Wagon,415-RYI,120YJUZ2TXXB0IALH
Jacqueline Hannah Copeland,Rolls-Royce,Ghost,2017,Black,Sedan,279 BJM,1KN41QWA63RZR6R15
Jennifer Mary Walton,Dodge,Ram 1500 Regular Cab,1998,White,Pickup,077-000,1Y65EP07AKIGVWTE7
Dale Dakota Walton,Chevrolet,2500 Extended Cab,1996,Blue,Pickup,278-DHY,9G12OH7XN3BOX0D61
Susan Teresa Hopkins,Chevrolet,Express 3500 Cargo,2009,Black,Van/Minivan,6DF Q42,S8BMCYAFFRJWO1R9E
Duane Steven Bowman,GMC,Sierra 3500 HD Double Cab,2018,Silver,Pickup,SA3 5671,PYDNJG5R9Q117P614
Vickie Julie Copeland,Chevrolet,Silverado 1500 Regular Cab,2001,Brown,Pickup,HCB 556,OWD8WLQ5T7MNQUX71
David Munoz,Toyota,Yaris,2015,Black,Hatchback,2A D8661,BWD5L6H10NFOSIHQ5
Jacob Robert Munoz,Lexus,GS,1994,Red,Sedan,649 ZLZ,T8O66OUQR4OSO0G92
Bradley Michael Munoz,Hyundai,Genesis,2010,White,Sedan,7M Z5672,2E9LAID1QUPMVWSUS
Joseph Brandon Lewis,Volkswagen,Tiguan,2019,Black,SUV,UO-5687,UQBZ07J0QWBPBPSNH
Kenneth Michael Jones,Land Rover,Range Rover Sport,2011,White,SUV,839 WNW,I5WO24FDVACP38NEG
Ashley Colleen Jones,GMC,Sierra (Classic) 2500 HD Regular Cab,2000,Red,Pickup,AEH2700,PI334KXUF716KES5Y
Kristin Kayla Jones,Ford,Ranger Regular Cab,2003,Blue,Pickup,W 126581,YBDL9TDQPTNL4U2RE
Grace Allison White,Audi,100,1994,Silver,"Wagon, Sedan",985J,TN1NBZYNG6DQ9URF7
Lisa Cassandra Bowman,Ford,Crown Victoria,2004,White,Sedan,1-87318N,CYNUM5AWHA84FU4JE
Matthew Gregory Young,Dodge,Viper,2017,White,Coupe,DHN-257,11BP1BUZ9AH1RBJO1
Anna Katherine Hall,Mercedes-Benz,GL-Class,2014,Gray,SUV,VHF 357,QZINA1U24C20XX5SS
Phillip Hall,Land Rover,Discovery,2003,Silver,SUV,THY V85,74S4BUYZXKRJKFXC9
Mary Susan Larsen,Dodge,Ram Van 2500,1995,White,Van/Minivan,EYP1847,TYV0W94B3XAB0SQPM
