full_name,gender,ssn,years_lived,age,date_of_death,marital_status
Elizabeth Brenda Baird,Female,401-03-1414,2031 - 2087,55,2087-02-08,Single
Courtney Tammy Mclean,Female,624-30-9978,2035 - 2100,64,2100-01-01,Married
James Joshua Davis,Male,312-74-5872,2031 - 2100,68,2100-01-01,Single
Megan Morgan Benson,Female,348-08-9666,2030 - 2100,69,2100-01-01,Married
Gregory Anderson,Male,306-98-1980,2021 - 2082,61,2082-11-01,Single
Kent Richard Shaw,Male,160-68-6479,2024 - 2092,68,2092-04-08,Married
Andrea Jennifer Hoover,Female,883-98-1423,2024 - 2096,71,2096-05-12,Married
Chad Jason Winters,Male,023-95-4643,2038 - 2099,60,2099-02-12,Married
John Owens,Male,229-71-7836,2035 - 2099,63,2099-03-29,Married
John Cantrell,Male,020-33-3577,2035 - 2100,64,2100-01-01,Single
Steven William Wood,Male,034-04-5884,2038 - 2100,61,2100-01-01,Married
Trevor James Levy,Male,293-17-0236,2026 - 2098,71,2098-05-12,Single
Jacob Manuel Hogan,Male,706-90-8449,2040 - 2100,59,2100-01-01,Married
Zachary Bradley Pacheco,Male,658-40-2144,2040 - 2097,56,2097-10-03,Married
Roberta Karen Brooks,Female,350-48-2134,2031 - 2099,67,2099-10-06,Married
Jamie Kelly Brown,Female,026-48-8291,2040 - 2100,59,2100-01-01,Single
Thomas Rodney Juarez,Male,650-82-0784,2033 - 2100,66,2100-01-01,Married
Michael Eric Hensley,Male,057-40-1197,2022 - 2097,74,2097-05-26,Single
Joel Brandon Baker,Male,771-54-6146,2023 - 2097,73,2097-03-28,Married
Jeffrey Jeffrey Sanders,Male,015-75-5777,2029 - 2100,70,2100-01-01,Single
Victoria Mary Jennings,Female,121-26-0372,2038 - 2100,61,2100-01-01,Single
Mary Ashley Robinson,Female,406-38-1071,2030 - 2100,69,2100-01-01,Married
Robert Frank Cervantes,Male,318-10-0995,2040 - 2100,59,2100-01-01,Single
Michael Jacob Peters,Male,701-59-9503,2020 - 2081,60,2081-08-13,Single
Ryan Jeffery Monroe,Male,822-41-6753,2035 - 2099,64,2099-06-24,Married
Amber Sarah Ellis,Female,839-59-1243,2034 - 2100,65,2100-01-01,Single
Joshua Jeremy Foley,Male,681-50-6536,2024 - 2100,75,2100-01-01,Married
Dawn Alexis Mcgee,Female,187-65-2883,2023 - 2100,76,2100-01-01,Single
Bailey Cheryl Miller,Female,019-14-7720,2021 - 2085,64,2085-11-29,Married
Robert Christopher Thomas,Male,052-50-9367,2024 - 2090,65,2090-03-05,Single
Lisa Karen Lee,Female,332-78-0096,2034 - 2100,65,2100-01-01,Married
Nicholas Christian Bullock,Male,085-33-2017,2021 - 2092,71,2092-05-04,Single
Patricia Wendy Smith,Female,519-97-0525,2040 - 2100,59,2100-01-01,Married
Wesley Jeremy Robinson,Male,166-45-3341,2021 - 2089,68,2089-03-24,Married
Hayden Adam Brooks,Male,206-35-8004,2027 - 2100,72,2100-01-01,Married
Nancy Lori Winters,Female,845-91-7018,2066 - 2100,33,2100-01-01,Married
Danny Grant Perkins,Male,891-70-0157,2023 - 2100,76,2100-01-01,Single
Samantha Kimberly Potter,Female,135-73-2705,2021 - 2093,71,2093-04-27,Married
Rita Cunningham,Female,881-83-6225,2032 - 2100,67,2100-01-01,Single
Michael Richard Farrell,Male,026-36-6436,2029 - 2100,70,2100-01-01,Married
Timothy Thomas Lee,Male,346-46-5764,2039 - 2099,59,2099-08-01,Single
Emily Torres,Female,017-07-5414,2038 - 2100,61,2100-01-01,Married
Tami Nichole Johnson,Female,544-03-6156,2039 - 2100,60,2100-01-01,Single
Jeremy Mitchell Espinoza,Male,328-83-2021,2022 - 2100,77,2100-01-01,Married
James Richard Harvey,Male,806-65-3376,2028 - 2091,63,2091-08-17,Single
Christopher Aaron Bass,Male,709-16-1816,2032 - 2100,67,2100-01-01,Married
Terri Andrea Stanley,Female,125-97-8826,2038 - 2099,61,2099-09-15,Single
Ann Carr,Female,648-69-3601,2035 - 2100,64,2100-01-01,Single
Chad Edwin Johnson,Male,041-98-2518,2035 - 2100,64,2100-01-01,Married
Samantha Erika Lawrence,Female,718-39-6664,2038 - 2100,61,2100-01-01,Single
William Dale White,Male,712-14-5517,2023 - 2100,76,2100-01-01,Single
Christopher Casey Moore,Male,543-34-8541,2039 - 2099,59,2099-05-01,Single
Melissa Smith,Female,190-50-9045,2027 - 2099,71,2099-07-21,Married
Vanessa Anita Mata,Female,371-67-4632,2026 - 2100,73,2100-01-01,Single
Eric Jesse Stark,Male,041-63-5625,2029 - 2099,69,2099-02-02,Married
Tara Hernandez,Female,654-56-1547,2024 - 2100,75,2100-01-01,Married
Jasmine Cathy Hall,Female,670-50-2966,2029 - 2100,70,2100-01-01,Single
Mary Anne Lambert,Female,592-56-4379,2033 - 2100,66,2100-01-01,Married
Rachael Deborah Miller,Female,754-33-3393,2034 - 2099,65,2099-08-09,Single
Kimberly Amy Griffin,Female,476-59-4323,2021 - 2099,77,2099-07-08,Married
Dennis Jeffrey Lambert,Male,496-78-5028,2034 - 2100,65,2100-01-01,Married
Nathan Brian Benson,Male,898-57-5956,2022 - 2100,77,2100-01-01,Married
Christina Heather Burke,Female,054-18-9327,2032 - 2100,67,2100-01-01,Married
Melanie Sandoval,Female,449-59-4505,2035 - 2100,64,2100-01-01,Married
Anthony Kevin Garrison,Male,828-89-8071,2027 - 2093,66,2093-05-24,Single
Cindy Lori Lee,Female,145-77-1554,2040 - 2099,59,2099-09-11,Single
Roberto Ernest Smith,Male,451-47-8348,2029 - 2100,70,2100-01-01,Married
William Christopher Ramirez,Male,179-74-4941,2030 - 2100,69,2100-01-01,Single
Jennifer Theresa Gross,Female,351-52-5659,2028 - 2094,65,2094-04-04,Single
Cynthia Smith,Female,165-04-1443,2031 - 2100,68,2100-01-01,Married
Samuel John Baker,Male,722-72-2461,2026 - 2099,72,2099-11-08,Married
Megan Lauren Freeman,Female,730-26-8632,2035 - 2099,64,2099-12-25,Married
Nicholas Richard Salazar,Male,448-26-9020,2036 - 2097,60,2097-04-02,Married
Ryan Dominguez,Male,228-81-7510,2040 - 2100,59,2100-01-01,Single
Olivia Weber,Female,550-99-4885,2026 - 2096,70,2096-12-12,Single
Tiffany Kelly Hall,Female,083-58-6880,2030 - 2100,69,2100-01-01,Married
Joseph Marvin Hill,Male,690-99-3589,2024 - 2100,75,2100-01-01,Married
Desiree Beth Davis,Female,270-25-0683,2028 - 2099,70,2099-07-03,Single
Angela Lozano,Female,426-52-1400,2037 - 2100,62,2100-01-01,Married
Linda Sarah Brown,Female,593-93-7440,2034 - 2100,65,2100-01-01,Single
Judith Jennifer Moore,Female,778-10-9265,2023 - 2095,72,2095-08-18,Married
James Smith,Male,782-99-9708,2023 - 2089,66,2089-12-24,Married
Christina Kim Deleon,Female,692-43-1790,2024 - 2091,67,2091-08-01,Married
Olivia Maria Brown,Female,801-59-3510,2034 - 2100,65,2100-01-01,Married
John Christopher Shaw,Male,815-77-9704,2032 - 2100,67,2100-01-01,Single
Robert Lopez,Male,016-20-2323,2037 - 2100,62,2100-01-01,Single
Charles Nicholas Brennan,Male,579-65-7589,2036 - 2099,62,2099-01-20,Married
Paul Buck,Male,618-43-8590,2023 - 2100,76,2100-01-01,Single
Gabriel Nicholas Harrington,Male,429-57-7719,2022 - 2099,77,2099-09-02,Single
Allison Hailey Griffith,Female,678-99-6948,2032 - 2100,67,2100-01-01,Single
Lisa Crystal White,Female,462-72-9149,2027 - 2100,72,2100-01-01,Single
Sandy Sabrina Chen,Female,200-80-8141,2033 - 2099,65,2099-06-11,Single
David Justin Butler,Male,134-17-4936,2033 - 2100,66,2100-01-01,Single
Craig Jonathan Shannon,Male,728-49-4407,2038 - 2100,61,2100-01-01,Single
Gina Kayla Dougherty,Female,047-78-0317,2036 - 2099,63,2099-12-07,Married
Thomas David Adams,Male,654-74-0291,2033 - 2100,66,2100-01-01,Married
Joseph Daniel Hubbard,Male,596-42-3789,2023 - 2079,55,2079-10-08,Single
Matthew Timothy Smith,Male,142-28-6499,2021 - 2100,78,2100-01-01,Single
Benjamin David Chambers,Male,771-27-0164,2028 - 2100,71,2100-01-01,Married
Donald Gilmore,Male,066-33-3404,2030 - 2100,69,2100-01-01,Married
Ricky Bauer,Male,584-57-8171,2023 - 2099,75,2099-01-24,Married
Seth Daniel Robinson,Male,019-11-2604,2037 - 2100,62,2100-01-01,Single
Steve Ryan Campbell,Male,827-36-1382,2020 - 2075,54,2075-01-27,Married
Danielle Haley Ryan,Female,249-87-7864,2034 - 2100,65,2100-01-01,Married
Robert Jason Anderson,Male,825-48-1872,2031 - 2091,59,2091-06-08,Married
Martin Richard Hill,Male,745-27-7343,2029 - 2100,70,2100-01-01,Married
Amy Mercado,Female,872-50-9999,2035 - 2100,64,2100-01-01,Single
Mary Ebony Bennett,Female,818-29-9825,2035 - 2097,61,2097-02-04,Single
Candice Susan James,Female,078-88-8544,2020 - 2092,71,2092-05-03,Single
Rhonda Jessica Pacheco,Female,154-28-6317,2038 - 2099,60,2099-05-29,Married
Ellen Chambers,Female,590-03-6594,2026 - 2100,73,2100-01-01,Married
Bryan Travis Lucas,Male,213-15-9410,2030 - 2100,69,2100-01-01,Single
Andrew William Avila,Male,093-94-0050,2028 - 2095,67,2095-12-10,Married
Sarah Rebecca Frost,Female,649-39-3423,2021 - 2100,78,2100-01-01,Married
Desiree Kristin Wood,Female,854-41-6944,2023 - 2097,73,2097-08-08,Married
Ashley Torres,Female,246-46-4938,2038 - 2100,61,2100-01-01,Married
Juan Douglas Griffin,Male,708-10-4672,2027 - 2100,72,2100-01-01,Married
Nicole Sabrina Bauer,Female,633-70-0928,2020 - 2098,78,2098-05-01,Married
Justin Zachary Norton,Male,062-73-2952,2037 - 2099,61,2099-04-22,Single
Christopher Jose Luna,Male,079-92-9261,2032 - 2100,67,2100-01-01,Married
Brittany Cynthia Ware,Female,302-26-3922,2035 - 2100,64,2100-01-01,Single
Hannah Anna Castaneda,Female,817-92-8085,2023 - 2099,75,2099-09-20,Single
Christopher Derrick Preston,Male,406-87-3803,2029 - 2100,70,2100-01-01,Married
Clayton Jack Duran,Male,171-17-9959,2023 - 2100,76,2100-01-01,Single
Candice Hogan,Female,584-33-7925,2032 - 2090,58,2090-12-16,Married
Wendy Carolyn Preston,Female,664-73-8224,2020 - 2090,69,2090-02-22,Married
Brent Andrew Lawrence,Male,734-04-9530,2033 - 2099,66,2099-10-22,Single
Ashley Nicole Brown,Female,238-53-5373,2029 - 2100,70,2100-01-01,Married
Kimberly Jennifer Hernandez,Female,889-27-6536,2029 - 2072,43,2072-04-17,Single
Briana Michelle Moore,Female,549-54-8169,2039 - 2100,60,2100-01-01,Married
Tiffany Sarah Castaneda,Female,486-97-6667,2022 - 2100,77,2100-01-01,Single
John Marcus Rich,Male,715-95-3141,2020 - 2086,65,2086-02-28,Single
Stephanie Connie Wood,Female,131-89-6176,2022 - 2088,65,2088-05-17,Single
Richard Jeremiah Long,Male,534-69-1822,2039 - 2100,60,2100-01-01,Single
Michael Dean Fry,Male,543-58-9976,2021 - 2087,65,2087-01-06,Married
Nathan Michael Jones,Male,754-55-4154,2031 - 2099,68,2099-10-22,Single
Mark Bryan Bryan,Male,023-65-6150,2020 - 2085,65,2085-06-09,Single
Sean Juan Davis,Male,641-54-0864,2030 - 2100,69,2100-01-01,Single
Cody Jaime Roth,Male,802-90-5000,2026 - 2099,73,2099-12-23,Married
Angela Frederick,Female,828-54-7094,2026 - 2087,60,2087-03-02,Married
Sara Stephanie Hernandez,Female,319-68-3397,2024 - 2094,69,2094-04-13,Married
Jesus John Walters,Male,562-75-5713,2022 - 2099,76,2099-06-12,Married
Bradley Leonard Frost,Male,672-63-1258,2021 - 2091,70,2091-12-05,Married
Sherry Kimberly Higgins,Female,417-06-9013,2036 - 2099,62,2099-02-15,Single
Larry Richard Hopkins,Male,456-22-8909,2039 - 2100,60,2100-01-01,Single
Joseph Harry Collins,Male,384-95-1186,2030 - 2098,68,2098-06-19,Married
Carol Sophia Carter,Female,311-51-9009,2028 - 2100,71,2100-01-01,Single
Maurice Nathan Lopez,Male,005-17-3195,2023 - 2085,61,2085-02-18,Married
Andrew Seth Allen,Male,882-43-1545,2026 - 2098,71,2098-08-14,Single
Dillon Jacob Williams,Male,522-76-2536,2035 - 2099,64,2099-05-28,Single
Margaret Theresa Martin,Female,823-71-4027,2023 - 2093,69,2093-04-05,Married
Jose Jordan Dixon,Male,802-10-7888,2040 - 2100,59,2100-01-01,Married
Dennis Nicholas Young,Male,224-83-7914,2025 - 2099,74,2099-07-08,Married
Alexander Keith Duran,Male,809-17-8166,2021 - 2096,75,2096-12-24,Married
Caroline April Mccoy,Female,486-82-8144,2031 - 2100,68,2100-01-01,Single
Devin James Hall,Male,029-68-8933,2034 - 2100,65,2100-01-01,Married
Christopher Clay,Male,707-88-9164,2023 - 2100,76,2100-01-01,Single
Danielle Sandra Guerrero,Female,004-40-3647,2025 - 2099,73,2099-04-04,Married
Andrew George Edwards,Male,761-31-1314,2032 - 2099,67,2099-12-01,Married
Jonathan Dennis Johnson,Male,068-64-6833,2024 - 2095,71,2095-09-19,Single
Seth Michael Roberts,Male,595-77-3976,2025 - 2085,60,2085-12-18,Married
Jessica Jacqueline Phillips,Female,566-42-0386,2027 - 2100,72,2100-01-01,Married
Bryan Brian Campbell,Male,295-01-8369,2036 - 2100,63,2100-01-01,Married
Tracy Lisa Myers,Female,497-25-2102,2033 - 2100,66,2100-01-01,Married
Kimberly Karen Benton,Female,347-86-5645,2024 - 2100,75,2100-01-01,Single
Johnny Steven Snyder,Male,540-23-0167,2028 - 2099,71,2099-10-07,Single
Stephen Terrence Mosley,Male,226-31-4597,2024 - 2095,71,2095-11-12,Married
Michael Jerry Frost,Male,045-74-8001,2021 - 2096,74,2096-02-20,Single
Rachel Lisa Murphy,Female,694-41-9680,2027 - 2086,59,2086-10-06,Single
Matthew Taylor Herring,Male,446-20-9695,2032 - 2100,67,2100-01-01,Single
Pedro Arthur Cantrell,Male,389-50-2483,2037 - 2094,57,2094-07-13,Single
Devin James Miller,Male,422-22-4854,2024 - 2100,75,2100-01-01,Married
Alexander Jake Turner,Male,389-81-7771,2031 - 2100,68,2100-01-01,Married
Nicole Alyssa Jones,Female,695-09-3704,2020 - 2100,79,2100-01-01,Married
Philip Joseph Lozano,Male,833-75-0480,2028 - 2099,71,2099-04-15,Single
Jeanne Kaitlyn Brennan,Female,150-55-7723,2031 - 2100,68,2100-01-01,Married
Joel Nicholas Jackson,Male,784-17-9694,2040 - 2100,59,2100-01-01,Married
Craig Brett Wagner,Male,139-94-1936,2027 - 2100,72,2100-01-01,Single
Christopher Joseph Young,Male,159-31-9917,2021 - 2099,77,2099-03-18,Married
Daniel Alan Brown,Male,706-98-2405,2024 - 2100,75,2100-01-01,Single
Patricia Amy Brown,Female,574-48-2559,2037 - 2100,62,2100-01-01,Married
Katelyn Brittany Miller,Female,549-22-4870,2034 - 2100,65,2100-01-01,Married
Diane Rebecca Shaw,Female,115-88-8143,2030 - 2100,69,2100-01-01,Married
Rachel Arnold,Female,508-64-6645,2027 - 2100,72,2100-01-01,Single
Robin Leslie Edwards,Female,317-61-1566,2030 - 2100,69,2100-01-01,Married
Anthony James Mason,Male,352-48-9922,2023 - 2100,76,2100-01-01,Married
Richard Mark Spencer,Male,015-69-4707,2022 - 2086,64,2086-12-04,Married
Joshua Julian Decker,Male,799-04-1428,2024 - 2086,62,2086-12-24,Married
Matthew Robert Shepherd,Male,123-22-9509,2022 - 2097,75,2097-06-08,Married
Amy Kelsey Brown,Female,827-03-9509,2060 - 2100,39,2100-01-01,Single
Robert Christopher Brown,Male,356-93-7046,2042 - 2100,57,2100-01-01,Married
Jennifer Katie Brown,Female,196-49-4021,2044 - 2100,55,2100-01-01,Single
Ann Cynthia Sanchez,Female,422-16-0784,2053 - 2100,46,2100-01-01,Single
Steven Hill,Male,393-89-1610,2043 - 2099,55,2099-01-22,Married
Erik Mark Fry,Male,443-82-3178,2057 - 2100,42,2100-01-01,Married
Robert Shawn Walter,Male,019-19-1319,2050 - 2100,49,2100-01-01,Single
Kayla Tonya Lamb,Female,570-49-3120,2053 - 2100,46,2100-01-01,Married
Aimee Jill Collins,Female,493-27-8677,2043 - 2100,56,2100-01-01,Married
Bonnie Amanda Wood,Female,057-54-8256,2041 - 2093,52,2093-08-16,Married
Lauren Deborah Gardner,Female,593-49-6139,2047 - 2100,52,2100-01-01,Married
Theresa Carolyn Gardner,Female,055-05-4165,2043 - 2100,56,2100-01-01,Single
Tina Katherine Williams,Female,049-24-8472,2050 - 2100,49,2100-01-01,Single
Michael Terri Saunders,Transgender,563-96-9093,2080 - 2100,19,2100-01-01,Married
Nicholas Jeff Beltran,Male,424-38-3569,2045 - 2100,54,2100-01-01,Single
Courtney Higgins,Female,852-36-0480,2049 - 2100,50,2100-01-01,Single
Jamie Gordon,Female,336-76-8813,2050 - 2100,49,2100-01-01,Single
Sherry Jessica Villarreal,Female,844-97-5268,2059 - 2100,40,2100-01-01,Married
Brittany Nelson,Female,185-24-3831,2052 - 2100,47,2100-01-01,Married
Rebecca Holly Mcgee,Female,090-58-1182,2044 - 2100,55,2100-01-01,Married
Joanne Ashley Hill,Female,541-77-8575,2058 - 2100,41,2100-01-01,Married
Tyler Webb,Male,553-30-8139,2040 - 2100,59,2100-01-01,Single
Julie Kara Decker,Female,302-28-1426,2058 - 2100,41,2100-01-01,Single
Robert Jordan Ryan,Male,078-44-2443,2052 - 2099,47,2099-07-23,Single
Dalton Scott Hamilton,Male,811-63-6472,2056 - 2100,43,2100-01-01,Married
Melissa Rebecca Fry,Female,834-31-8656,2043 - 2100,56,2100-01-01,Married
Joanna Jessica Decker,Female,032-11-3897,2041 - 2100,58,2100-01-01,Married
Heidi Chavez,Female,743-13-4535,2043 - 2099,55,2099-02-24,Married
Sandra Carter,Female,583-10-4540,2051 - 2100,48,2100-01-01,Single
Matthew Jason Moore,Male,075-54-2795,2042 - 2099,56,2099-05-11,Married
Kevin Michael Williams,Male,724-90-1727,2047 - 2100,52,2100-01-01,Married
Amanda Anna Ramirez,Female,652-44-5744,2049 - 2099,50,2099-09-19,Single
Catherine Brenda Brown,Female,848-03-4772,2049 - 2099,49,2099-07-15,Married
Nicholas Ronald Jones,Male,067-95-8964,2054 - 2100,45,2100-01-01,Single
Robin Jones,Female,305-88-7152,2045 - 2100,54,2100-01-01,Single
Bradley George Johnson,Male,460-48-7224,2042 - 2100,57,2100-01-01,Married
Penny Karen Marsh,Female,043-93-1901,2058 - 2099,41,2099-12-19,Single
Charles Kyle Smith,Male,812-51-9970,2051 - 2099,48,2099-12-24,Married
Nathaniel Smith,Male,640-17-3377,2040 - 2100,59,2100-01-01,Married
Lisa Kelly,Female,712-51-1681,2046 - 2099,53,2099-07-08,Single
Melissa Amanda Wang,Female,873-03-0141,2045 - 2100,54,2100-01-01,Married
Denise Claire Nelson,Female,513-11-7034,2043 - 2100,56,2100-01-01,Single
David Nelson,Male,558-66-9534,2042 - 2099,56,2099-08-02,Married
Dennis Samuel Sutton,Male,721-82-8557,2048 - 2099,50,2099-01-17,Married
Joseph Justin Marks,Male,036-45-7974,2045 - 2100,54,2100-01-01,Married
Jessica Jessica Marks,Female,587-80-1399,2060 - 2100,39,2100-01-01,Single
Kevin Robert Collins,Male,831-51-2685,2051 - 2100,48,2100-01-01,Married
Rachel Margaret Mosley,Female,021-09-4394,2041 - 2100,58,2100-01-01,Single
Adam Shane Walters,Male,078-14-8671,2050 - 2100,49,2100-01-01,Married
Joseph Robert Benson,Male,286-85-1199,2047 - 2099,51,2099-06-19,Married
Tabitha Carrie Brown,Female,016-10-4783,2053 - 2100,46,2100-01-01,Married
Joshua Juan Winters,Male,521-77-4339,2047 - 2099,51,2099-04-05,Single
Benjamin Brandon Winters,Male,238-37-3916,2050 - 2100,49,2100-01-01,Married
John Wood,Male,646-81-0831,2047 - 2100,52,2100-01-01,Single
Sean Jason Hill,Male,608-85-4751,2048 - 2099,50,2099-02-19,Married
Steven Steve Pacheco,Male,231-50-4765,2057 - 2100,42,2100-01-01,Married
Jessica Patricia Pacheco,Female,129-13-4157,2054 - 2100,45,2100-01-01,Single
Michele Kimberly Brooks,Female,057-44-2788,2048 - 2099,51,2099-05-04,Single
Andrew Tyler Fuentes,Male,734-81-3435,2060 - 2100,39,2100-01-01,Married
