id,gender,first_name,middle_name,last_name,nickname,ssn,sexual_orientation,age,generation,date_of_birth,time_of_birth,date_of_death,hair_color,hair_type,eye_color,height,weight,blood_type_allele,mannerisms,positive_traits,neutral_traits,negative_traits,phone_number,email,passport,drivers_license,home,vehicle,bank_account,pet,marital_status,spouse,maiden_name,children,siblings,parent_a,parent_b,employer,role,patron_of,is_alive,parents,can_work,can_marry,is_working,age_group,full_name,name,title,gender_abbr,desired_gender,body_mass_index,format_weight,format_height,years_lived,blood_type
Pdc66,Female,Patricia,Carmen,Johnson,Patsy,331-30-3198,Heterosexual,51,2,2048-05-27,04:21 PM,,Brown,Frizzy,Brown,64.6,137.9,BBDd,Talks loudly,"Maticulous, Energetic, Uncomplaining",Unaggressive,"Demanding, Expedient, Sadistic",Cell: (751) 725-9983,Personal: patriciajohnson527@kmail.com,Passport: Y23653034 - Exp: Dec 2102,Driver's License: B20APWX5 - Exp: Oct 2103,"Home: 2262 Young River, Port Jessicaton, NJ - 08401",Gray 1998 Ford Expedition - SUV - 170-IAM,"Bank Account (750502752): $22,687.95",,Single,,,[],"[P2cbb, Pfd3c, P0403, Pc435]",Heather Johnson (2039 - 2078),Jeffrey Dustin Johnson (2021 -  ),SelectPlace Trade (2099) - Retail: Wholesale,Employee: General,"[Drive Parts (2099) - Automotive: Suppliers, Star Beat Journal (2098) - Entertainment: Journalism, Style Quest Press (2089) - Entertainment: Journalism]",True,Heather Johnson and Jeffrey Johnson,True,True,True,Middle Age,Patricia Carmen Johnson,Patsy Johnson,Ms.,F,Male,23.2,138 lbs,"5' 5""",2048 -  ,B+
P2cbb,Male,William,,Johnson,,277-03-2440,Heterosexual,42,2,2057-05-10,10:34 AM,,Black,Unkempt,Green,72.4,184.5,BADd,"Never says ""please"" or ""thank you""","Studious, Challenging, Empathetic",Undemanding,"Silly, Anxious, Trendy",Cell: (773) 277-6553,Personal: wjohnson642@kmail.com,Passport: P32230260 - Exp: Apr 2108,Driver's License: X45PGDG4 - Exp: Apr 2102,"Home: 2173 Glenda Plain - Suite 574, North Amandaville, NJ - 07093",White 2010 Dodge Challenger - Coupe - 40-56519,"Bank Account (926162935): $15,940.70",,Married,Crystal Deborah Williams (2041 -  ),,"[Pa97d, P2851, P137a]","[Pdc66, Pfd3c, P0403, Pc435]",Heather Johnson (2039 - 2078),Jeffrey Dustin Johnson (2021 -  ),Bite Delight Mobile (2092) - Food and Beverage: Food Truck,Employee: General,"[SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",True,Heather Johnson and Jeffrey Johnson,True,True,True,Middle Age,William Johnson,William Johnson,Mr.,M,Female,24.7,184 lbs,"6' 0""",2057 -  ,B+
Pfd3c,Female,Melissa,,Johnson,Mel,541-29-1941,Heterosexual,54,2,2045-05-27,06:15 AM,,Black,Flowing,Brown,69.8,144.7,BADd,Picks at cuticles and skin around the fingernails,"Genuine, Discreet, Relaxed",Proud,"Graceless, Irrational, Zany",Cell: (606) 677-7593,Personal: melissajohnson@kmail.com,Passport: M98748520 - Exp: Nov 2104,Driver's License: Z11XQDP9 - Exp: Oct 2106,"Home: 90484 Nolan Parks - Apt. 386, Port Grace, NJ - 08957",Orange 2008 Volvo C70 - Convertible - 6MP79,"Bank Account (031994878): $9,979.19",,Single,,,[],"[Pdc66, P2cbb, P0403, Pc435]",Heather Johnson (2039 - 2078),Jeffrey Dustin Johnson (2021 -  ),Sound Quest Music (2099) - Entertainment: Music,Employee: General,"[Drive Parts (2099) - Automotive: Suppliers, FeastSip Bread (2099) - Food and Beverage: Bakery, Star Beat Journal (2098) - Entertainment: Journalism, Style Quest Press (2089) - Entertainment: Journalism]",True,Heather Johnson and Jeffrey Johnson,True,True,True,Middle Age,Melissa Johnson,Mel Johnson,Ms.,F,Male,20.9,145 lbs,"5' 10""",2045 -  ,B+
P0403,Female,Jennifer,Carmen,Torres,,133-69-9237,Homosexual,52,2,2047-02-26,08:36 AM,2100-01-01,Black,Spiky,Brown,67.7,149.0,BBDd,Stands with feet together,"Maticulous, Studious, Felicific",Familial,"Neglectful, Greedy, Arrogantt",Cell: (859) 957-6823,Personal: johnson819@kmail.com,Passport: F46335671 - Exp: Sep 2101,Driver's License: V37KKTY9 - Exp: Aug 2103,"Home: 16371 Johnson Loaf - Suite 478, New Vickie, NJ - 08302","Black 2007 BMW 3 Series - Coupe, Sedan, Convertible, Wagon - 380-EEQ","Bank Account (242026721): $15,816.64","Animal(name='Nala', animal_type='Cat', breed='Khao Manee', age=1, gender='Female')",Married,Sara Amanda Torres (2055 -  ),Johnson,"[P9441, P1d2f]","[Pdc66, P2cbb, Pfd3c, Pc435]",Heather Johnson (2039 - 2078),Jeffrey Dustin Johnson (2021 -  ),Bite Delight Mobile (2092) - Food and Beverage: Food Truck,Manager: General,"[Sound Quest Music (2099) - Entertainment: Music, Star Beat Journal (2098) - Entertainment: Journalism]",False,Heather Johnson and Jeffrey Johnson,True,True,True,Middle Age (Deceased),Jennifer Carmen Torres,Jennifer Torres,Mrs.,F,Female,22.9,149 lbs,"5' 8""",2047 - 2100,B+
Pc435,Female,Cynthia,,Johnson,,118-33-9107,Heterosexual,55,2,2044-03-28,05:22 PM,,Blonde,Wavy,Blue,70.1,135.1,BBDd,Moves quickly from one task to another,"Responsible, Creative, Alert",Iconoclastic,"Prim, Melancholic, Mannerless",Cell: (626) 412-0439,Personal: cjohnson44@free.net,Passport: L91343462 - Exp: Aug 2101,Driver's License: P45XDEL4 - Exp: Dec 2100,"Home: 80397 Smith Causeway - Suite 344, Port Cindybury, NJ - 07389",Gray 2008 Volkswagen Rabbit - Hatchback - OSC 438,"Bank Account (113125428): $20,432.83",,Single,,,[],"[Pdc66, P2cbb, Pfd3c, P0403]",Heather Johnson (2039 - 2078),Jeffrey Dustin Johnson (2021 -  ),Drive Parts (2099) - Automotive: Suppliers,Employee: General,"[AutoPath Rentals (2062) - Automotive: Rental, Drive Parts (2099) - Automotive: Suppliers, FeastSip Bread (2099) - Food and Beverage: Bakery, Star Beat Journal (2098) - Entertainment: Journalism]",True,Heather Johnson and Jeffrey Johnson,True,True,True,Middle Age,Cynthia Johnson,Cynthia Johnson,Ms.,F,Male,19.3,135 lbs,"5' 10""",2044 -  ,B+
P8185,Male,Anthony,Alex,Sharp,Al,384-86-1386,Heterosexual,56,2,2043-09-26,11:54 PM,2100-01-01,Blonde,Curly,Amber,57.2,147.9,BOdd,Speaks softly,"Rational, Educated, Sentimental",Impersonal,"Crazy, Sadistic, Prim",Cell: (682) 587-5027,Personal: asharp43@kmail.com,Passport: T42735719 - Exp: Oct 2101,Driver's License: M99CZIK2 - Exp: Jul 2106,"Home: 5469 Jones Ville, Port Linda, NJ - 08166",Black 2009 Saab 9-7X - SUV - 870 QHI,"Bank Account (532011297): $22,066.93","Animal(name='Angel', animal_type='Cat', breed='British Longhair', age=9, gender='Female')",Single,,,[],[Pfbbf],Deanna Cheryl Sharp (2040 -  ),Jasmine Michelle Sharp (2022 - 2100),,Unemployed,"[Style Quest Press (2089) - Entertainment: Journalism, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",False,Cher Sharp and Mickey Sharp,True,True,False,Middle Age (Deceased),Anthony Alex Sharp,Al Sharp,Mr.,M,Female,31.8,148 lbs,"4' 9""",2043 - 2100,B-
Pfbbf,Female,Denise,Samantha,Bradley,,129-02-6273,Heterosexual,47,2,2052-11-27,09:20 PM,,Brown,Wavy,Hazel,57.6,133.5,BBDd,Wears clothing with stains,"Gallant, Companionly, Leisurely",Political,"Ridiculous, Distractible, Criminal",Cell: (835) 240-8814,Personal: dsharp@kmail.com,Passport: I53431698 - Exp: Jul 2101,Driver's License: D11DFBT4 - Exp: Jul 2098,"Home: 7147 Jennifer Ports, Rojasmouth, NJ - 08951",,"Bank Account (017510365): $14,794.77","Animal(name='Mia', animal_type='Cat', breed='Lykoi', age=1, gender='Female')",Married,David Robert Bradley (2048 -  ),Sharp,"[P42fb, P4070, P6c3a]",[P8185],Deanna Cheryl Sharp (2040 -  ),Jasmine Michelle Sharp (2022 - 2100),Sound Quest Music (2099) - Entertainment: Music,Employee: General,"[Drive Parts (2099) - Automotive: Suppliers, FeastSip Bread (2099) - Food and Beverage: Bakery]",True,Cher Sharp and Mickey Sharp,True,True,True,Middle Age,Denise Samantha Bradley,Denise Bradley,Mrs.,F,Male,28.3,134 lbs,"4' 10""",2052 -  ,B+
P5075,Male,Donald,Bradley,Johnson,,861-82-8339,Homosexual,49,2,2050-07-08,04:48 PM,,Black,Straight,Blue,67.8,159.4,ABdd,Scrambles around frantically,"Maticulous, Felicific, Teacherly",Stylish,"Disorganized, Frivolous, Dogmatic",Cell: (542) 488-6308,Personal: djohnson50@kmail.com,Passport: N85611200 - Exp: Oct 2106,Driver's License: U78IJQX5 - Exp: Mar 2104,"Home: 537 Danielle Club, Lake Jennifer, NJ - 07703",Gray 2005 Pontiac G6 - Sedan - 493KFF,"Bank Account (984364640): $13,707.88",,Single,,,[],"[Pa212, P755f]",Michelle Meghan Johnson (2040 -  ),Gregory David Johnson (2023 -  ),,Unemployed,"[Sound Quest Music (2099) - Entertainment: Music, Style Quest Press (2089) - Entertainment: Journalism, Market Store Quick (2092) - Retail: Convenience, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",True,Shelley Johnson and Day Johnson,True,True,False,Middle Age,Donald Bradley Johnson,Donald Johnson,Mr.,M,Male,24.4,159 lbs,"5' 8""",2050 -  ,AB-
Pa212,Male,David,Calvin,Johnson,,051-98-6423,Bisexual,59,2,2040-03-01,12:54 PM,2100-01-01,Blonde,Touseled,Blue,68.4,213.0,AAdd,Rests head in hands,"Well-bred, Humble, Invulnerable",Irreligious,"Mechanical, Dishonest, Paranoid",Cell: (619) 209-6209,Personal: djohnson40@yakoo.com,Passport: R30042772 - Exp: Jul 2108,Driver's License: E87ZWZW9 - Exp: Jun 2104,"Home: 4495 Jensen Turnpike, New Michelle, NJ - 07498",Gray 2014 Toyota Venza - Wagon - 3-65760,"Bank Account (937539421): $4,689.72",,Single,,,[],"[P5075, P755f]",Michelle Meghan Johnson (2040 -  ),Gregory David Johnson (2023 -  ),Invest Wise Invest (2093) - Finance: Investment Firm,Owner: General,"[Style Quest Press (2089) - Entertainment: Journalism, SelectPlace Trade (2099) - Retail: Wholesale]",False,Shelley Johnson and Day Johnson,True,True,True,Middle Age (Deceased),David Calvin Johnson,David Johnson,Mr.,M,Female,32.0,213 lbs,"5' 8""",2040 - 2100,A-
P755f,Male,Daniel,Nicholas,Johnson,Nickie,646-04-7871,Heterosexual,45,2,2054-05-13,02:34 AM,,Black,Curly,Brown,65.6,186.4,AAdd,Foot kicking slightly,"Magnanimous, Solid, Enthusiastic",Casual,"Unimpressive, Obsessive, Faithless",Cell: (848) 921-2980,Personal: danieljohnson@kmail.com,Passport: I57431093 - Exp: Apr 2107,Driver's License: X28VRRE7 - Exp: Sep 2106,"Home: 747 Rebecca Harbor, Juliechester, NJ - 08936",White 2008 Ford Edge - SUV - 6Q 6937U,"Bank Account (249068812): $16,352.07",,Single,,,[],"[P5075, Pa212]",Michelle Meghan Johnson (2040 -  ),Gregory David Johnson (2023 -  ),Style Quest Press (2089) - Entertainment: Journalism,Employee: General,"[Taste Bite Beverage (2098) - Food and Beverage: Beverage Manufacture, Sound Quest Music (2099) - Entertainment: Music, Style Quest Press (2089) - Entertainment: Journalism, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",True,Shelley Johnson and Day Johnson,True,True,True,Middle Age,Daniel Nicholas Johnson,Nickie Johnson,Mr.,M,Female,30.5,186 lbs,"5' 6""",2054 -  ,A-
P6b39,Female,Zoe,Anna,Silva,Anne,359-58-8296,Homosexual,57,2,2042-06-04,11:28 AM,,Blonde,Unkempt,Hazel,66.3,126.4,BAdd,Stands with feet together,"Idealistic, Dramatic, Courteous",Invisible,"Arbitrary, Hidebound, Unrealistic",Cell: (304) 921-6379,Personal: zsilva@kmail.com,Passport: Z54591911 - Exp: Apr 2105,Driver's License: Q06TADT2 - Exp: Feb 2101,"Home: 26584 William Fields, New Kyleview, NJ - 07208",,"Bank Account (713532217): $12,789.88","Animal(name='Rocky', animal_type='Cat', breed='Japanese Bobtail', age=4, gender='Female')",Single,,,[],"[P3331, Pb7d7]",John Billy Silva (2036 - 2100),Tammy Pamela Silva (2020 - 2071),FeastSip Bread (2099) - Food and Beverage: Bakery,Employee: General,"[FeastSip Bread (2099) - Food and Beverage: Bakery, Style Quest Press (2089) - Entertainment: Journalism]",True,Jon Silva and Tammy Silva,True,True,True,Middle Age,Zoe Anna Silva,Anne Silva,Ms.,F,Female,20.2,126 lbs,"5' 6""",2042 -  ,B-
P3331,Female,Emily,Brandi,Silva,Emmy,488-79-7310,Heterosexual,42,2,2057-07-08,06:15 AM,2100-01-01,Black,Straight,Brown,69.5,156.8,BADd,Foot kicking slightly,"Helpful, Tasteful, Realistic",Neutral,"Bizarre, Devious, Unlovable",Cell: (279) 190-4696,Personal: emilysilva57@kmail.com,Passport: H56639474 - Exp: Aug 2109,Driver's License: A06PXBH0 - Exp: Sep 2106,"Home: 828 Miller Station - Suite 216, Dicksonshire, NJ - 07579",Red 1996 Mercury Villager - Van/Minivan - GCH O26,"Bank Account (147759022): $15,088.68","Animal(name='Skittles', animal_type='Bird', breed=""Fischer's Lovebird"", age=14, gender='Male')",Single,,,[],"[P6b39, Pb7d7]",John Billy Silva (2036 - 2100),Tammy Pamela Silva (2020 - 2071),EducatePlace Center (2045) - Education: Community College,Manager: General,"[AutoPath Rentals (2062) - Automotive: Rental, Sound Quest Music (2099) - Entertainment: Music, Star Beat Journal (2098) - Entertainment: Journalism, Style Quest Press (2089) - Entertainment: Journalism]",False,Jon Silva and Tammy Silva,True,True,True,Middle Age (Deceased),Emily Brandi Silva,Emmy Silva,Ms.,F,Male,22.8,157 lbs,"5' 10""",2057 - 2100,B+
Pb7d7,Female,Christine,Elizabeth,Silva,,238-93-8682,Heterosexual,49,2,2050-09-16,10:05 AM,,Brown,Curly,Blue,59.7,140.1,BADd,Wears a cravat,"Self-sufficent, Personable, Popular",Ordinary,"Devious, Superficial, High-handed",Cell: (933) 889-4803,Personal: csilva18@kmail.com,Passport: N99600903 - Exp: Jun 2107,Driver's License: Z74RXOJ1 - Exp: May 2103,"Home: 521 Miller Vista, East Aaronburgh, NJ - 08352",Black 2011 Mitsubishi Outlander - SUV - 800-EMD,"Bank Account (475087004): $15,765.60","Animal(name='Mocha', animal_type='Cat', breed='Devon Rex', age=8, gender='Male')",Married,Samuel Mitchell Marshall (2056 -  ),,[P5482],"[P6b39, P3331]",John Billy Silva (2036 - 2100),Tammy Pamela Silva (2020 - 2071),Zoom Dealer (2090) - Automotive: Dealership,Employee: General,"[Invest Wise Invest (2093) - Finance: Investment Firm, Star Beat Journal (2098) - Entertainment: Journalism, Style Quest Press (2089) - Entertainment: Journalism]",True,Jon Silva and Tammy Silva,True,True,True,Middle Age,Christine Elizabeth Silva,Christine Silva,Mrs.,F,Male,27.6,140 lbs,"5' 0""",2050 -  ,B+
P527b,Female,Diane,Dawn,Blevins,,414-02-8293,Heterosexual,50,2,2048-07-08,09:44 AM,2099-03-12,Brown,Curly,Brown,66.5,158.5,AADD,Eyes that dart around a lot,"Magnanimous, Incorruptible, Self-defacing",Impersonal,"Intolerant, Impulsive, Clumsy",Cell: (835) 626-1284,Personal: blevins803@hokmail.com,Passport: H62105722 - Exp: Nov 2100,Driver's License: X13IUBL2 - Exp: Feb 2099,"Home: 544 Silva Center - Apt. 150, Johnland, NJ - 08840",White 2018 Chevrolet Express 2500 Cargo - Van/Minivan - C00 0CI,"Bank Account (455454808): $7,120.00",,Single,,,[],[P185b],Amanda Blevins (2024 -  ),Scott Hoover (2032 - 2100),Zoom Dealer (2090) - Automotive: Dealership,Employee: General,[],False,Mandy Blevins and Scott Hoover,True,True,True,Middle Age (Deceased),Diane Dawn Blevins,Diane Blevins,Ms.,F,Male,25.2,158 lbs,"5' 6""",2048 - 2099,A+
