full_name,drivers_license~number,drivers_license~issue_date,drivers_license~exp_date,drivers_license~restrictions,home~state,height,format_height,format_weight
Sean Jeffrey Gordon,K69OFRE9,2099-06-03,2107-06-03,None,Maine,54.9,"4' 7""",208 lbs
Rachel Gabrielle Morris,S30ELJM0,2091-07-31,2099-07-31,D - Daytime Only,Maine,62.4,"5' 2""",124 lbs
Amanda Melissa Graham,B88NTUC6,2078-02-14,2086-02-14,B - Corrective Lenses,Minnesota,63.9,"5' 4""",148 lbs
Kelly Amanda Miller,M99QDZX2,2095-12-21,2103-12-21,None,Alaska,55.9,"4' 8""",132 lbs
Alicia Laura Tucker,Y99BKZC8,2096-09-22,2104-09-22,None,Wisconsin,65.1,"5' 5""",146 lbs
Jessica Melissa Davila,F01RUDK2,2095-07-28,2103-07-28,B - Corrective Lenses,Nevada,65.8,"5' 6""",151 lbs
Michael Smith,B85XTDM1,2090-01-12,2098-01-12,B - Corrective Lenses,Florida,71.9,"6' 0""",171 lbs
Kelly Richard Scott,X79LHXA6,2095-11-30,2103-11-30,None,New York,71.1,"5' 11""",200 lbs
Tracy Thompson,S83YJHE8,2095-07-20,2103-07-20,None,North Dakota,67.1,"5' 7""",130 lbs
Ryan Dakota Kelly,S73FGDP5,2090-04-15,2098-04-15,B - Corrective Lenses,Massachusetts,78.8,"6' 7""",169 lbs
Shannon Allison Barnes,W98AEFC3,2090-11-09,2098-11-09,B - Corrective Lenses,Kentucky,65.2,"5' 5""",147 lbs
Courtney Wallace,Z14PCUD8,2098-09-18,2106-09-18,None,South Dakota,69.1,"5' 9""",153 lbs
Bryan David Hall,N82MTFD4,2093-03-31,2101-03-31,None,Indiana,73.1,"6' 1""",171 lbs
Savannah Kimberly Tucker,L86MXDT4,2093-04-18,2101-04-18,None,Wisconsin,62.1,"5' 2""",160 lbs
Dominic Peter Thomas,N54KCDP4,2098-04-28,2106-04-28,B - Corrective Lenses,Illinois,80.1,"6' 8""",170 lbs
Ronnie Thomas Kelly,A84EWBV4,2097-08-05,2105-08-05,None,Massachusetts,64.7,"5' 5""",224 lbs
Danielle Simmons,A93RSXW3,2092-07-17,2100-07-17,None,South Carolina,67.1,"5' 7""",144 lbs
Shirley Katelyn Shaw,Y84RAFT5,2092-04-03,2100-04-03,None,Idaho,71.1,"5' 11""",133 lbs
Jessica Shelia Sutton,N30UNNU9,2096-05-07,2104-05-07,None,Missouri,71.4,"5' 11""",122 lbs
Herbert Matthew Miller,N61FJQW4,2093-01-01,2101-01-01,B - Corrective Lenses,Alaska,66.4,"5' 6""",171 lbs
Alexis Amy Baxter,P26XOZC0,2090-04-15,2098-04-15,None,Nevada,60.0,"5' 0""",139 lbs
David Mark Lee,Y35LIKC5,2089-12-26,2097-12-26,None,Louisiana,71.7,"6' 0""",184 lbs
Tiffany Gross,E76GPVQ8,2095-11-08,2103-11-08,None,Alaska,59.7,"5' 0""",132 lbs
Robert Thomas Reed,Y98DVFW9,2087-06-20,2095-06-20,None,Connecticut,71.8,"6' 0""",205 lbs
Tammy Chavez,Q26PMVQ9,2093-09-17,2101-09-17,None,Colorado,66.6,"5' 7""",136 lbs
Brandon Matthew Rice,I04NAQL6,2097-03-19,2105-03-19,None,Idaho,78.5,"6' 6""",141 lbs
Robert Jesse Marks,L58GPJQ4,2091-02-18,2099-02-18,None,Ohio,70.6,"5' 11""",173 lbs
Kyle Baxter,J77PXRB1,2081-08-11,2089-08-11,None,New Hampshire,64.5,"5' 4""",186 lbs
Richard Villarreal,Z25WKGP0,2096-06-25,2104-06-25,None,California,76.4,"6' 4""",199 lbs
Scott Samuel Harris,E87ZWZW9,2096-06-27,2104-06-27,None,Wisconsin,60.5,"5' 0""",185 lbs
Ashley Tina West,P69JCQE3,2096-06-08,2104-06-08,None,Tennessee,68.4,"5' 8""",143 lbs
Jennifer Tina Newton,F16XUYA9,2094-04-21,2102-04-21,None,Rhode Island,66.2,"5' 6""",138 lbs
Eric Donald Ramos,B09QDEW1,2088-12-19,2096-12-19,None,Washington,70.3,"5' 10""",201 lbs
Joann Taylor Knight,Q89DPSH9,2096-05-12,2104-05-12,None,Florida,62.8,"5' 3""",141 lbs
Zachary Edgar Martinez,N90FDVU1,2097-10-17,2105-10-17,B - Corrective Lenses,Louisiana,63.5,"5' 4""",202 lbs
Jessica Autumn Brooks,H96XFGY9,2099-10-16,2107-10-16,None,Mississippi,66.0,"5' 6""",144 lbs
Zachary Christopher Smith,S86IEMJ9,2096-04-02,2104-04-02,B - Corrective Lenses,Arkansas,70.0,"5' 10""",210 lbs
Kendra Sharon Collins,O41LYRH9,2090-08-23,2098-08-23,None,Utah,64.2,"5' 4""",136 lbs
Katherine Tammy Gonzalez,F09RQNZ7,2092-08-28,2100-08-28,B - Corrective Lenses,District of Columbia,61.3,"5' 1""",136 lbs
Jason Daniel Barry,G35OYPU5,2099-04-06,2107-04-06,None,District of Columbia,68.0,"5' 8""",167 lbs
Rachel Crystal Parsons,L50PRML9,2097-01-06,2105-01-06,None,Kansas,63.3,"5' 3""",154 lbs
Dana Ford,W44IZXW1,2090-04-14,2098-04-14,None,Utah,59.1,"4' 11""",130 lbs
Mercedes Ashley Moore,G14ZAEM4,2098-12-23,2106-12-23,D - Daytime Only,Louisiana,63.4,"5' 3""",141 lbs
Austin Ramirez,L00UTDN5,2091-10-05,2099-10-05,None,Pennsylvania,63.5,"5' 4""",186 lbs
Veronica Jillian Davis,J86CNNU4,2093-01-11,2101-01-11,None,Mississippi,70.9,"5' 11""",145 lbs
Manuel William Lawson,M37BQGK2,2093-05-03,2101-05-03,None,Maryland,69.0,"5' 9""",176 lbs
Jane Elizabeth Gonzalez,H26VUTE0,2097-09-05,2105-09-05,None,Montana,75.4,"6' 3""",142 lbs
Elizabeth Gordon,Y85NBVH3,2090-03-10,2098-03-10,None,Louisiana,63.5,"5' 4""",162 lbs
Nathan Jason Martinez,M84QUCX7,2092-11-21,2100-11-21,None,New York,65.6,"5' 6""",174 lbs
Jordan Dalton Lester,I85FWBK0,2092-07-18,2100-07-18,B - Corrective Lenses,Texas,74.9,"6' 3""",189 lbs
Lauren Victoria Benson,N33ISNT2,2094-03-10,2102-03-10,B - Corrective Lenses,Washington,67.9,"5' 8""",153 lbs
Laurie Heather Buchanan,U00SPVK9,2090-01-24,2098-01-24,None,Delaware,72.6,"6' 1""",137 lbs
Kimberly Campbell,A67ATJI9,2091-04-24,2099-04-24,None,Kentucky,61.5,"5' 2""",130 lbs
Connie Jasmine Alexander,D57LIZZ6,2096-02-02,2104-02-02,None,North Dakota,65.0,"5' 5""",145 lbs
Valerie Kayla Marsh,W36JRMS0,2090-04-17,2098-04-17,None,Colorado,69.6,"5' 10""",131 lbs
Lucas Knight,G82WZTR0,2098-03-02,2106-03-02,None,South Dakota,75.2,"6' 3""",190 lbs
Christina Thomas,S80NZBM7,2091-09-02,2099-09-02,B - Corrective Lenses,Arkansas,56.1,"4' 8""",145 lbs
Elizabeth Brenda Baird,T03HQAI2,2077-07-21,2085-07-21,None,Minnesota,60.7,"5' 1""",149 lbs
Courtney Tammy Mclean,T02EWYG4,2092-07-28,2100-07-28,None,South Dakota,65.7,"5' 6""",148 lbs
Connor Christopher Roy,V41PXQN7,2099-12-03,2107-12-03,None,Idaho,63.1,"5' 3""",164 lbs
James Joshua Davis,Q21YTRF3,2091-11-22,2099-11-22,None,New Hampshire,72.9,"6' 1""",184 lbs
Megan Morgan Stone,T69XTWT1,2098-12-22,2106-12-22,None,New Jersey,66.1,"5' 6""",144 lbs
Gregory Anderson,N22RVKG3,2079-04-21,2087-04-21,D - Daytime Only,Alabama,72.6,"6' 1""",210 lbs
Kent Richard Shaw,Z43CAIX0,2085-12-02,2093-12-02,None,Idaho,66.0,"5' 6""",200 lbs
Andrea Jennifer White,B61OMPF1,2096-03-01,2104-03-01,None,Iowa,65.7,"5' 6""",133 lbs
Chad Jason Winters,Z61AFJQ1,2097-05-17,2105-05-17,None,Maine,61.2,"5' 1""",173 lbs
John Owens,T30HPOJ2,2091-07-03,2099-07-03,None,Georgia,66.3,"5' 6""",180 lbs
John Cantrell,J58TDIG3,2093-08-15,2101-08-15,B - Corrective Lenses,Utah,68.1,"5' 8""",206 lbs
Randy Joseph Martinez,T33HMVQ3,2097-07-18,2105-07-18,None,Illinois,72.8,"6' 1""",168 lbs
Sarah Jennifer Edwards,B56MQXM7,2093-03-26,2101-03-26,None,West Virginia,61.0,"5' 1""",133 lbs
Steven William Wood,X97ENLE2,2098-01-27,2106-01-27,None,District of Columbia,74.0,"6' 2""",201 lbs
Trevor James Levy,E88LSLR0,2093-08-07,2101-08-07,B - Corrective Lenses,Idaho,64.8,"5' 5""",190 lbs
Hannah Stephanie Andrews,F78DRPA4,2099-07-05,2107-07-05,D - Daytime Only,New Jersey,62.1,"5' 2""",145 lbs
Jacob Manuel Hogan,U72LMTG1,2095-09-09,2103-09-09,B - Corrective Lenses,District of Columbia,75.1,"6' 3""",193 lbs
Kyle Raymond Ruiz,A56GLEJ3,2092-10-01,2100-10-01,None,Wyoming,71.6,"6' 0""",191 lbs
Zachary Bradley Pacheco,U96NOBQ4,2088-03-20,2096-03-20,None,Virginia,69.1,"5' 9""",182 lbs
Roberta Karen Bass,Q34WRBW6,2097-04-17,2105-04-17,None,Kentucky,71.8,"6' 0""",161 lbs
Kathryn Spencer,A67ZJUP1,2097-07-18,2105-07-18,B - Corrective Lenses,Kentucky,68.4,"5' 8""",144 lbs
Jamie Kelly Brown,P04RDZU9,2097-01-31,2105-01-31,None,California,64.0,"5' 4""",139 lbs
Frank Travis Fuentes,Z50OUKO3,2096-11-28,2104-11-28,B - Corrective Lenses,Georgia,68.7,"5' 9""",201 lbs
Thomas Rodney Juarez,K82KQEN2,2092-02-13,2100-02-13,None,Arkansas,63.5,"5' 4""",189 lbs
Michael Eric Hensley,D93VSLW8,2091-01-11,2099-01-11,None,Idaho,69.7,"5' 10""",242 lbs
Victoria Jean Sanford,H42KOKH3,2095-09-16,2103-09-16,None,Idaho,64.9,"5' 5""",139 lbs
Mark Gregory Tate,C02AMTG5,2092-12-02,2100-12-02,None,Virginia,72.8,"6' 1""",162 lbs
Melissa Allison,L59JFIV6,2092-07-09,2100-07-09,None,Tennessee,64.4,"5' 4""",135 lbs
Joel Brandon Baker,H47AJBY6,2091-08-19,2099-08-19,None,Delaware,69.6,"5' 10""",194 lbs
Emily Sharon Austin,N02ZVUT0,2096-05-24,2104-05-24,None,Kansas,63.9,"5' 4""",164 lbs
Frank Timothy White,S42AAFE8,2091-11-21,2099-11-21,None,Iowa,63.9,"5' 4""",203 lbs
Ryan Thomas Avila,P23YDUX3,2098-07-18,2106-07-18,None,Iowa,85.0,"7' 1""",181 lbs
Jeffrey Jeffrey Sanders,T91OHJL4,2093-08-19,2101-08-19,None,Washington,63.8,"5' 4""",183 lbs
Kristin Alyssa Cole,H39XDJY9,2094-06-29,2102-06-29,B - Corrective Lenses,New Hampshire,59.0,"4' 11""",138 lbs
Victoria Mary Jennings,K71VIBE1,2098-03-24,2106-03-24,D - Daytime Only,Utah,62.3,"5' 2""",164 lbs
Mary Ashley Pacheco,Y48QPXK7,2091-09-30,2099-09-30,B - Corrective Lenses,Virginia,61.1,"5' 1""",131 lbs
Robert Frank Cervantes,O75EPSH7,2098-05-01,2106-05-01,D - Daytime Only,Nevada,68.5,"5' 8""",195 lbs
Karen Alicia Scott,T33FFUU2,2095-03-06,2103-03-06,B - Corrective Lenses,New York,69.8,"5' 10""",133 lbs
Chad Brandon Gutierrez,U00NXHD6,2095-09-03,2103-09-03,None,Maryland,63.6,"5' 4""",170 lbs
Anna Karen Williams,V56WNWO1,2097-09-22,2105-09-22,None,Alaska,58.2,"4' 10""",129 lbs
Kristin Rachel Long,K32TSWQ5,2096-02-29,2104-02-29,None,Florida,65.8,"5' 6""",173 lbs
Michael Jacob Peters,C39QCLP5,2079-07-17,2087-07-17,None,Texas,72.7,"6' 1""",206 lbs
Ryan Jeffery Monroe,D37KZSL5,2092-06-16,2100-06-16,None,Louisiana,78.3,"6' 6""",187 lbs
Amber Sarah Ellis,B47YESA9,2094-09-25,2102-09-25,B - Corrective Lenses,Nevada,66.7,"5' 7""",142 lbs
Carlos Roy Woodard,L22EFLL8,2091-03-20,2099-03-20,B - Corrective Lenses,Michigan,73.2,"6' 1""",206 lbs
Joshua Jeremy Foley,Z07YCEZ0,2097-11-18,2105-11-18,B - Corrective Lenses,California,73.5,"6' 2""",177 lbs
Dawn Alexis Mcgee,B96MFKV4,2099-03-31,2107-03-31,None,West Virginia,61.0,"5' 1""",118 lbs
Daniel Joseph Wells,N46HCCZ7,2096-10-03,2104-10-03,None,Oregon,71.4,"5' 11""",207 lbs
Bailey Cheryl Miller,D31NRIZ8,2078-10-20,2086-10-20,None,Missouri,65.8,"5' 6""",156 lbs
Robert Christopher Thomas,G01MPQA3,2089-01-09,2097-01-09,None,Illinois,63.4,"5' 3""",206 lbs
Lisa Karen Lee,S19WCEA8,2093-08-05,2101-08-05,None,Arizona,59.7,"5' 0""",149 lbs
Terri Cindy Mcdaniel,E24BJVD3,2092-10-05,2100-10-05,None,North Dakota,64.3,"5' 4""",159 lbs
Zachary Justin Dalton,Q02CGPK0,2099-03-16,2107-03-16,None,South Dakota,67.1,"5' 7""",164 lbs
Mason Cody Murray,I44MBHO6,2092-03-22,2100-03-22,None,Utah,72.5,"6' 0""",182 lbs
Nicholas Christian Bullock,X44ETGT0,2087-12-29,2095-12-29,None,Oklahoma,76.5,"6' 4""",173 lbs
Allen John Jones,Q90IITF5,2099-04-26,2107-04-26,None,Minnesota,71.0,"5' 11""",152 lbs
Patricia Wendy Smith,B82AYDG3,2097-11-15,2105-11-15,None,Alaska,64.7,"5' 5""",127 lbs
Aaron Richard Miller,T95RFQL8,2097-10-24,2105-10-24,None,New Mexico,64.7,"5' 5""",198 lbs
Wesley Jeremy Robinson,D18AZZB1,2085-02-03,2093-02-03,None,Wisconsin,69.4,"5' 9""",179 lbs
Hayden Adam Brooks,C07RDRX7,2098-07-28,2106-07-28,None,Mississippi,63.2,"5' 3""",185 lbs
Brianna Walter,D98LPVY2,2096-10-21,2104-10-21,None,Oregon,66.1,"5' 6""",135 lbs
Joshua Garcia,N05HBIN3,2093-12-07,2101-12-07,B - Corrective Lenses,Texas,58.4,"4' 10""",176 lbs
Rita Laura Holmes,N68VGOS8,2097-09-18,2105-09-18,D - Daytime Only,Montana,59.7,"5' 0""",151 lbs
Rachel Carl Davis,S08SYDZ9,2092-10-02,2100-10-02,B - Corrective Lenses,Tennessee,62.7,"5' 3""",144 lbs
Danny Grant Perkins,M33SEBU9,2097-10-01,2105-10-01,B - Corrective Lenses,California,68.2,"5' 8""",188 lbs
Samantha Kimberly Potter,S90LDDM7,2086-03-05,2094-03-05,None,Arkansas,66.5,"5' 6""",144 lbs
Rita Miller,I29OOFZ5,2091-03-17,2099-03-17,None,Maryland,65.5,"5' 6""",139 lbs
Michael Richard Farrell,W58WEJP7,2096-09-02,2104-09-02,B - Corrective Lenses,Ohio,77.1,"6' 5""",155 lbs
