age,age_group,blood_type,blood_type_allele,body_mass_index,can_marry,can_work,children,date_of_birth,date_of_death,desired_gender,drivers_license,email,employer,eye_color,first_name,format_height,format_weight,full_name,gender,gender_abbr,generation,hair_color,hair_type,height,home,id,is_alive,is_working,last_name,maiden_name,mannerisms,marital_status,middle_name,negative_traits,neutral_traits,nickname,parents,passport,patron_of,pet,phone_number,positive_traits,role,sexual_orientation,siblings,spouse,ssn,time_of_birth,title,vehicle,weight,years_lived
63,Senior,A-,AAdd,31.9,True,True,[],2036-06-12,,Female,Driver's License: P85VACE6 - Exp: Jul 2098,Personal: adammiller@hokmail.com,,Blue,Adam,"5' 7""",206 lbs,Adam Andrew Miller,Male,M,3,Black,Curly,67.3,"Home: 290 Frank Hollow, Bryantchester, MD - 21906",P830b,True,False,Miller,,Rubbing nose,Single,Andrew,"Disruptive, Opportunistic, Single-minded",Solitary,,[],Passport: R83830430 - Exp: May 2107,"[LearnCenter High (2098) - Education: Public 10-12, Style Pastime (1948) - Entertainment: Hobbies, Feast Sip Taste (2099) - Food and Beverage: Restaurant, AcademyHub Middle (2094) - Education: Public 7-9, Finance Vault Finance (2089) - Finance: Loans / Mortgage Lender, Inno Produce (2096) - Technology: Manufacturers, Cine Productions (2099) - Entertainment: Film / TV, Capital Edge Finance (2096) - Finance: Bank, Go Ways Rentals (2090) - Automotive: Rental, StayGetaway Explore (2096) - Hospitality: Other, Play World News (2087) - Entertainment: Journalism, Style Flicks Play (2066) - Entertainment: Sports, Tour Escape Stay (2099) - Hospitality: Hotels, Fund Invest (2098) - Finance: Investment Firm, LogicSolutions Wireless (2098) - Technology: Mobile Providers, Fund Hub Digital (2090) - Finance: Crypto]",,Cell: (786) 355-3552,"Skillful, Systematic, Conscientious",Unemployed,Heterosexual,[],,597-22-8069,08:55 AM,Mr.,Gray 2017 Chevrolet Bolt EV - Hatchback - 168 0MG,205.5,2036 -  
72,Senior (Deceased),AB+,ABDD,21.4,True,True,"[Pc9bf, P7d92]",2022-08-25,2095-07-25,Male,Driver's License: N69LPGA7 - Exp: Jan 2098,Personal: robynmoore22@yakoo.com,EducateCampus Learn (2076) - Education: University,Hazel,Robyn,"5' 5""",128 lbs,Robyn Moore,Female,F,3,Brown,Straight,64.7,"Home: 624 Mitchell Shores  - Apt. 513, North Jessemouth, ID - 83560",Pa6e7,False,True,Moore,,Loudly points out faults in others,Married,,"Extravagant, Delicate, Narcissistic",Enigmatic,,[],Passport: A75434485 - Exp: Feb 2105,"[LearnCenter High (2098) - Education: Public 10-12, FinanceVault Capital (2084) - Finance: Bank, Style Pastime (1948) - Entertainment: Hobbies, Fund Tech Bank (2093) - Finance: Bank, Institute Place Trade (2090) - Education: Technical / Trade School, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, TrendOutlet Bulk (2074) - Retail: Wholesale, Select Store Gadget (2099) - Retail: Electronics, Delicious Eats Bistro (2095) - Food and Beverage: Restaurant, Well Care Care (2097) - Healthcare: Hospital, ExploreEscape Adventures (2097) - Hospitality: Other, Capital Edge Finance (2096) - Finance: Bank, StayGetaway Explore (2096) - Hospitality: Other, KnowledgeCampus Middle (2098) - Education: Public 7-9, Dinero Finance (2090) - Finance: Bank, Tour Escape Stay (2099) - Hospitality: Hotels, LogicSolutions Wireless (2098) - Technology: Mobile Providers]","Animal(name='Joe', animal_type='Dog', breed='Great Dane', age=10, gender='Female')",Cell: (773) 819-1177,"Warm, Exciting, Individualistic",Manager: General,Heterosexual,[],Jeffrey John Buck (2027 - 2100),660-92-5037,09:25 PM,Mrs.,"Black 1993 Chevrolet Caprice Classic - Sedan, Wagon - EHE7912",127.7,2022 - 2095
63,Senior (Deceased),B+,BBDD,22.5,True,True,[],2036-05-03,2100-01-01,Male,Driver's License: T72PGRZ4 - Exp: May 2107,Personal: melissabecker495@kmail.com,TransitWays Boating (2065) - Transportation: Boat,Hazel,Melissa,"5' 7""",143 lbs,Melissa Laura Becker,Female,F,3,Grey,Flowing,66.8,"Home: 56644 Kerry Road  - Apt. 625, Lake Amymouth, OR - 97212",Pb572,False,True,Becker,,Wants to meet friends and family,Single,Laura,"Sordid, Crazy, Devious",Cute,,[],Passport: R63753895 - Exp: Apr 2102,"[LearnCenter High (2098) - Education: Public 10-12, FinanceVault Capital (2084) - Finance: Bank, Fund Tech Bank (2093) - Finance: Bank, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, InvestTech Fund (2098) - Finance: Investment Firm, TrendOutlet Bulk (2074) - Retail: Wholesale, Well Care Care (2097) - Healthcare: Hospital, Route Ways Transfer (2099) - Transportation: Relocation, Capital Edge Finance (2096) - Finance: Bank, Go Ways Rentals (2090) - Automotive: Rental, StayGetaway Explore (2096) - Hospitality: Other, Play World News (2087) - Entertainment: Journalism, Tour Escape Stay (2099) - Hospitality: Hotels, LogicSolutions Wireless (2098) - Technology: Mobile Providers]","Animal(name='Ginger', animal_type='Cat', breed='Nebelung', age=6, gender='Female')",Cell: (872) 939-6231,"Sexy, Sharing, Adventurous",Employee: General,Heterosexual,[],,098-40-3106,04:12 AM,Ms.,,142.8,2036 - 2100
62,Senior (Deceased),B-,BOdd,22.7,True,True,[],2036-08-10,2099-02-06,Male,Driver's License: L95WJTO8 - Exp: Jul 2100,Personal: sherimorrison810@kmail.com,Star Quest Arena (2099) - Entertainment: Sports,Brown,Sheri,"5' 3""",130 lbs,Sheri Ashley Morrison,Female,F,3,Black,Unkempt,63.4,"Home: 84 Curtis Pike  - Apt. 082, West Victor, HI - 96727",P301e,False,True,Morrison,,Locked ankles,Single,Ashley,"Timid, Coarse, Decadent",Ascetic,Ash,[],Passport: W50547521 - Exp: Aug 2103,"[Knowledge Elementary School (2097) - Education: Public K-6, Style Pastime (1948) - Entertainment: Hobbies, Institute Place Trade (2090) - Education: Technical / Trade School, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, TrendOutlet Bulk (2074) - Retail: Wholesale, ExploreEscape Adventures (2097) - Hospitality: Other, Capital Edge Finance (2096) - Finance: Bank, StayGetaway Explore (2096) - Hospitality: Other, Dinero Finance (2090) - Finance: Bank, Tour Escape Stay (2099) - Hospitality: Hotels, LogicSolutions Wireless (2098) - Technology: Mobile Providers]",,Cell: (763) 867-3032,"Reflective, Responsive, Clean",Manager: General,Heterosexual,[],,243-82-0786,03:07 AM,Ms.,,129.8,2036 - 2099
70,Senior (Deceased),B+,BBDD,20.6,True,True,[],2026-10-04,2097-08-29,Male,Driver's License: K41DEGK2 - Exp: May 2099,Personal: tanyaedwards104@yakoo.com,A Taste ofDelight Food (2097) - Food and Beverage: Food Truck,Brown,Tanya,"5' 9""",141 lbs,Tanya Emma Edwards,Female,F,3,Grey,Flowing,69.3,"Home: 9039 April Brooks  - Suite 006, Oneillbury, VA - 23098",P9385,False,True,Edwards,,Looks down nose at everyone,Single,Emma,"Ruined, Unself-critical, Mannerless",Big-thinking,Emmy,[],Passport: N97785414 - Exp: Nov 2098,"[Knowledge Elementary School (2097) - Education: Public K-6, LearnCenter High (2098) - Education: Public 10-12, FinanceVault Capital (2084) - Finance: Bank, Style Pastime (1948) - Entertainment: Hobbies, Fund Tech Bank (2093) - Finance: Bank, Institute Place Trade (2090) - Education: Technical / Trade School, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, TrendOutlet Bulk (2074) - Retail: Wholesale, ExploreEscape Adventures (2097) - Hospitality: Other, Route Ways Transfer (2099) - Transportation: Relocation, Capital Edge Finance (2096) - Finance: Bank, Dinero Finance (2090) - Finance: Bank, Tour Escape Stay (2099) - Hospitality: Hotels, LogicSolutions Wireless (2098) - Technology: Mobile Providers, A Taste of Delight Go (2089) - Food and Beverage: Fast Food]",,Cell: (723) 857-9756,"Well-read, Relaxed, Idealistic",Employee: General,Heterosexual,[],,877-25-4495,06:02 AM,Ms.,Green 1992 Ford Econoline E150 Cargo - Van/Minivan - VTD 767,140.8,2026 - 2097
69,Senior,A+,AODd,27.8,True,True,"[P5dfb, P40c2]",2030-02-20,,Female,Driver's License: R49YATO0 - Exp: May 2100,Personal: higgins383@yakoo.com,ExploreEscape Adventures (2097) - Hospitality: Other,Brown,Daniel,"5' 10""",193 lbs,Daniel Dylan Higgins,Male,M,3,Brown,Wavy,69.8,"Home: 77096 Fernando Stravenue, Fitzpatrickview, MD - 21205",P796f,True,True,Higgins,,Chain smokes,Married,Dylan,"Phlegmatic, Crass, Cold",Soft,,[],Passport: W78570074 - Exp: Feb 2101,"[WealthHub Invest (2097) - Finance: Investment Firm, LearnCenter High (2098) - Education: Public 10-12, AcademyHub Middle (2094) - Education: Public 7-9, Finance Vault Finance (2089) - Finance: Loans / Mortgage Lender, Inno Produce (2096) - Technology: Manufacturers, Taste Dine Bread (2090) - Food and Beverage: Bakery, Invest Edge Finance (2087) - Finance: Bank, InvestTech Fund (2098) - Finance: Investment Firm, TransitWays Boating (2065) - Transportation: Boat, Well Care Care (2097) - Healthcare: Hospital, Capital Edge Finance (2096) - Finance: Bank, LogicSolutions Wireless (2098) - Technology: Mobile Providers, Fund Hub Digital (2090) - Finance: Crypto]","Animal(name='Dash', animal_type='Fish', breed='Angelfish', age=4, gender='Female')",Cell: (159) 662-3461,"Conscientious, Kind, Rustic",Employee: General,Heterosexual,[],Andrea Higgins (2021 -  ),618-67-8670,10:55 PM,Mr.,"Black 2003 BMW 5 Series - Sedan, Wagon - MPV 847",192.8,2030 -  
64,Senior (Deceased),O+,OODD,25.3,True,True,[],2034-07-30,2099-01-11,Male,Driver's License: L62CMJM1 - Exp: Dec 2103,Personal: slutz@outkook.com,ExploreEscape Adventures (2097) - Hospitality: Other,Hazel,Stephen,"6' 3""",204 lbs,Stephen Anthony Lutz,Male,M,3,Black,Curly,75.4,"Home: 74805 Andrews Rapid  - Suite 566, East Margaretville, KY - 41622",Pa731,False,True,Lutz,,Looks at self in mirror often,Single,Anthony,"Forgetful, Phlegmatic, Abrupt",Paternalistic,,[],Passport: Z23126459 - Exp: Jun 2106,"[DrivePath Motors (2096) - Automotive: Dealership, Feast Sip Taste (2099) - Food and Beverage: Restaurant, AcademyHub Middle (2094) - Education: Public 7-9, Finance Vault Finance (2089) - Finance: Loans / Mortgage Lender, Inno Produce (2096) - Technology: Manufacturers, Code Sync Connect (2025) - Technology: Mobile Providers, Invest Edge Finance (2087) - Finance: Bank, Well Care Care (2097) - Healthcare: Hospital, Capital Edge Finance (2096) - Finance: Bank, StayGetaway Explore (2096) - Hospitality: Other, Style Flicks Play (2066) - Entertainment: Sports, Fund Invest (2098) - Finance: Investment Firm, Learn Center School (2098) - Education: Public K-6, LogicSolutions Wireless (2098) - Technology: Mobile Providers]","Animal(name='Luna', animal_type='Cat', breed='Egyptian Mau', age=3, gender='Female')",Cell: (338) 993-2075,"Lyrical, Fair, Pruposeful",Owner: General,Homosexual,[],,563-08-3375,10:18 AM,Mr.,,204.2,2034 - 2099
64,Senior,B+,BODd,25.3,True,True,[],2035-01-31,,Female,Driver's License: R82TDLN0 - Exp: Mar 2106,Personal: michaelramirez403@hokmail.com,Route Ways Commute (2085) - Transportation: Ride Sharing / Taxi,Brown,Michael,"6' 2""",195 lbs,Michael Michael Ramirez,Male,M,3,Black,Straight,73.5,"Home: 8499 Laura Drive, Port Morganberg, WV - 25990",P73c9,True,True,Ramirez,,Twiddling thumbs,Married,Michael,"Vulnerable, Disloyal, Secretive",Impersonal,Mikey,[],Passport: L70832308 - Exp: Jun 2105,"[Story Chic Arena (2088) - Entertainment: Sports, LearnCenter High (2098) - Education: Public 10-12, Style Pastime (1948) - Entertainment: Hobbies, Feast Sip Taste (2099) - Food and Beverage: Restaurant, AcademyHub Middle (2094) - Education: Public 7-9, Finance Vault Finance (2089) - Finance: Loans / Mortgage Lender, Inno Produce (2096) - Technology: Manufacturers, Taste Dine Bread (2090) - Food and Beverage: Bakery, Invest Edge Finance (2087) - Finance: Bank, InvestTech Fund (2098) - Finance: Investment Firm, MoneyHub Finance (2092) - Finance: Loans / Mortgage Lender, Capital Edge Finance (2096) - Finance: Bank, StayGetaway Explore (2096) - Hospitality: Other, LogicSolutions Wireless (2098) - Technology: Mobile Providers]",,Cell: (597) 784-0364,"Gallant, Strong, Many-sided",Employee: General,Heterosexual,[],Gabrielle Emily Evans (2025 - 2100),229-15-9637,03:35 AM,Mr.,"Gray 1997 Honda Civic - Coupe, Hatchback, Sedan - 7NA 585",194.8,2035 -  
60,Senior (Deceased),O+,OODd,32.2,True,True,"[P89ca, Pb886]",2039-03-10,2100-01-01,Female,Driver's License: K67YSLD3 - Exp: Feb 2099,Personal: zgarcia310@yakoo.com,ExploreHaven Stay (2034) - Hospitality: Hotels,Brown,Zachary,"5' 7""",206 lbs,Zachary James Garcia,Male,M,3,Blonde,Straight,67.1,"Home: 60872 Hendrix Trail, Carlborough, NE - 68044",P6b45,False,True,Garcia,,Hums/sings to self often,Married,James,"Unhealthy, Disorganized, Extreme",Glamorous,Zak,[],Passport: G72773836 - Exp: May 2102,"[StudyPlace Primary (2096) - Education: Public K-6, LearnCenter High (2098) - Education: Public 10-12, FitCare Doc (2018) - Healthcare: Doctor, DineroVault Crypto (2076) - Finance: Crypto, Style Pastime (1948) - Entertainment: Hobbies, Feast Sip Taste (2099) - Food and Beverage: Restaurant, AcademyHub Middle (2094) - Education: Public 7-9, Inno Produce (2096) - Technology: Manufacturers, Taste Dine Bread (2090) - Food and Beverage: Bakery, Invest Edge Finance (2087) - Finance: Bank, Well Care Care (2097) - Healthcare: Hospital, Capital Edge Finance (2096) - Finance: Bank, Go Ways Rentals (2090) - Automotive: Rental, StayGetaway Explore (2096) - Hospitality: Other, Route Ways Commute (2085) - Transportation: Ride Sharing / Taxi, Fund Invest (2098) - Finance: Investment Firm, Learn Center School (2098) - Education: Public K-6, LogicSolutions Wireless (2098) - Technology: Mobile Providers, Fund Hub Digital (2090) - Finance: Crypto]","Animal(name='Gill', animal_type='Fish', breed='African Cichlid', age=5, gender='Female')",Cell: (146) 622-4644,"Balanced, Undogmatic, Well-bred",Owner: General,Heterosexual,[],Samantha Monica Garcia (2038 - 2100),271-62-7200,11:24 AM,Mr.,"Gray 2005 Volkswagen Passat - Sedan, Wagon - 19CU8",206.5,2039 - 2100
64,Senior,B+,BODd,28.2,True,True,[P194f],2035-11-24,,Female,Driver's License: M91XCHX1 - Exp: Jan 2103,Personal: juansherman582@yakoo.com,Learn Center School (2098) - Education: Public K-6,Green,Juan,"5' 9""",190 lbs,Juan Andrew Sherman,Male,M,3,Black,Frizzy,68.7,"Home: 10071 Mclaughlin Motorway, South Leroymouth, IN - 47580",P1e78,True,True,Sherman,,Scrambles around frantically,Married,Andrew,"Willful, Devious, Hostile",Crisp,Drew,[],Passport: K09783882 - Exp: Feb 2100,"[Speed Air (1915) - Transportation: Airline, FitCare Doc (2018) - Healthcare: Doctor, DrivePath Motors (2096) - Automotive: Dealership, Style Pastime (1948) - Entertainment: Hobbies, AcademyHub Middle (2094) - Education: Public 7-9, Finance Vault Finance (2089) - Finance: Loans / Mortgage Lender, Inno Produce (2096) - Technology: Manufacturers, Taste Dine Bread (2090) - Food and Beverage: Bakery, Well Care Care (2097) - Healthcare: Hospital, Tour Escape Stay (2099) - Hospitality: Hotels, Fund Invest (2098) - Finance: Investment Firm, Learn Center School (2098) - Education: Public K-6, LogicSolutions Wireless (2098) - Technology: Mobile Providers, Fund Hub Digital (2090) - Finance: Crypto]",,Cell: (765) 813-8522,"Empathetic, Optimistic, Trusting",Manager: General,Heterosexual,[],Christina Jasmine Sherman (2024 - 2100),155-74-7629,01:28 PM,Mr.,"White 2016 Audi TT - Coupe, Convertible - WCR-8422",189.5,2035 -  
61,Senior (Deceased),AB-,ABdd,28.1,False,True,[],2036-10-02,2098-06-13,Female,Driver's License: R65EFKB2 - Exp: Jan 2102,Personal: noahwalsh@kmail.com,Delicious Eats Bistro (2095) - Food and Beverage: Restaurant,Brown,Noah,"5' 9""",192 lbs,Noah Kenneth Walsh,Male,M,3,Brown,Unkempt,69.2,"Home: 677 Adrian Hollow, Markview, VA - 22696",P3ba2,False,True,Walsh,,Steeples hands,Single,Kenneth,"Small-thinking, Extravagant, False",Private,Ken,[],Passport: K82940684 - Exp: Mar 2098,"[WealthHub Invest (2097) - Finance: Investment Firm, LearnCenter High (2098) - Education: Public 10-12, FitCare Doc (2018) - Healthcare: Doctor, Byte Solutions Hub (2091) - Technology: Social Media, Style Pastime (1948) - Entertainment: Hobbies, Feast Sip Taste (2099) - Food and Beverage: Restaurant, AcademyHub Middle (2094) - Education: Public 7-9, Inno Produce (2096) - Technology: Manufacturers, Invest Edge Finance (2087) - Finance: Bank, InvestTech Fund (2098) - Finance: Investment Firm, Well Care Care (2097) - Healthcare: Hospital, StayGetaway Explore (2096) - Hospitality: Other, Route Ways Commute (2085) - Transportation: Ride Sharing / Taxi, Style Flicks Play (2066) - Entertainment: Sports, Fund Invest (2098) - Finance: Investment Firm]","Animal(name='Kaida', animal_type='Reptile', breed='Anole Lizard', age=0, gender='Male')",Cell: (784) 807-5784,"Confident, Tolerant, Witty",Owner: General,Asexual,[],,573-52-0664,11:54 AM,Mr.,Blue 2008 Scion xD - Hatchback - TCP-007,191.6,2036 - 2098
52,Middle Age (Deceased),B+,BBDd,22.5,True,True,[],2024-08-14,2077-01-20,Female,Driver's License: K99WXOJ8 - Exp: Nov 2084,Personal: myers883@kmail.com,StudyPlace Primary (2096) - Education: Public K-6,Green,Sandra,"5' 11""",161 lbs,Sandra Lisa Myers,Female,F,3,Brown,Straight,70.9,"Home: 9298 Williams Forge  - Suite 498, Brownport, LA - 70139",Pbded,False,True,Myers,,Wears clothing with sarcastic sayings,Single,Lisa,"Bland, Disruptive, Unself-critical",Soft,Sandy,[],Passport: M70976314 - Exp: Feb 2086,"[LearnCenter High (2098) - Education: Public 10-12, TransitPath Courier (2088) - Transportation: Courier / Delivery, Style Pastime (1948) - Entertainment: Hobbies, Fund Tech Bank (2093) - Finance: Bank, Play Pastime (2095) - Entertainment: Hobbies, Institute Place Trade (2090) - Education: Technical / Trade School, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, TrendOutlet Bulk (2074) - Retail: Wholesale, Well Care Care (2097) - Healthcare: Hospital, ExploreEscape Adventures (2097) - Hospitality: Other, Route Ways Transfer (2099) - Transportation: Relocation, Capital Edge Finance (2096) - Finance: Bank, StayGetaway Explore (2096) - Hospitality: Other, Tour Escape Stay (2099) - Hospitality: Hotels, LogicSolutions Wireless (2098) - Technology: Mobile Providers]",,Cell: (796) 638-1070,"Genuine, Helpful, Exciting",Manager: General,Homosexual,[],,173-24-3679,01:41 AM,Ms.,,161.2,2024 - 2077
71,Senior,B+,BODd,26.3,True,True,"[P5092, Pa28b, P17ab]",2028-06-06,,Female,Driver's License: K83EQDE6 - Exp: Jan 2100,Personal: isaiahmcgee28@kmail.com,Knowledge Elementary School (2097) - Education: Public K-6,Hazel,Isaiah,"5' 9""",177 lbs,Isaiah Mcgee,Male,M,3,Black,Spiky,68.7,"Home: 898 Jerry Row  - Suite 529, South Wendy, NY - 10480",P9fc5,True,True,Mcgee,,Can't eat around a stranger,Married,,"Naive, False, Ruined",Sensual,,[],Passport: N37975793 - Exp: Apr 2103,"[Speed Air (1915) - Transportation: Airline, StudyPlace Primary (2096) - Education: Public K-6, LearnCenter High (2098) - Education: Public 10-12, Byte Solutions Hub (2091) - Technology: Social Media, DineroVault Crypto (2076) - Finance: Crypto, Style Pastime (1948) - Entertainment: Hobbies, Feast Sip Taste (2099) - Food and Beverage: Restaurant, AcademyHub Middle (2094) - Education: Public 7-9, Finance Vault Finance (2089) - Finance: Loans / Mortgage Lender, Inno Produce (2096) - Technology: Manufacturers, InvestTech Fund (2098) - Finance: Investment Firm, Well Care Care (2097) - Healthcare: Hospital, StayGetaway Explore (2096) - Hospitality: Other, Route Ways Commute (2085) - Transportation: Ride Sharing / Taxi, Tour Escape Stay (2099) - Hospitality: Hotels, Fund Invest (2098) - Finance: Investment Firm, Learn Center School (2098) - Education: Public K-6, City Ways Repair (2090) - Automotive: Mechanic]",,Cell: (646) 513-0589,"Sympathetic, Humble, Neat",Owner: General,Heterosexual,[],Cristina Maria Mcgee (2025 - 2100),665-03-3097,01:55 AM,Mr.,Blue 2014 Bentley Mulsanne - Sedan - 801 APF,176.7,2028 -  
61,Senior,B+,BBDD,24.9,True,True,"[P47bb, P8367]",2038-11-29,,Male,Driver's License: P88SLGB7 - Exp: Aug 2102,Personal: angelabarr@kmail.com,Story Chic Arena (2088) - Entertainment: Sports,Hazel,Angela,"5' 3""",142 lbs,Angela Dana Peterson,Female,F,3,Black,Wavy,63.4,"Home: 87557 Burnett Bypass, Nathanielland, TN - 38341",Pf4f6,True,True,Peterson,Barr,Twiddling thumbs,Married,Dana,"Thievish, Tense, Single-minded",Crebral,Angel,[],Passport: T70274917 - Exp: Aug 2105,"[LearnCenter High (2098) - Education: Public 10-12, FitCare Doc (2018) - Healthcare: Doctor, FinanceVault Capital (2084) - Finance: Bank, Style Pastime (1948) - Entertainment: Hobbies, Institute Place Trade (2090) - Education: Technical / Trade School, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, InvestTech Fund (2098) - Finance: Investment Firm, TrendOutlet Bulk (2074) - Retail: Wholesale, Well Care Care (2097) - Healthcare: Hospital, ExploreEscape Adventures (2097) - Hospitality: Other, Route Ways Transfer (2099) - Transportation: Relocation, Capital Edge Finance (2096) - Finance: Bank, StayGetaway Explore (2096) - Hospitality: Other, Dinero Finance (2090) - Finance: Bank, LogicSolutions Wireless (2098) - Technology: Mobile Providers]","Animal(name='Shadow', animal_type='Cat', breed='Snowshoe', age=2, gender='Female')",Cell: (881) 604-2245,"Self-reliant, Cooperative, Ebullient",Employee: General,Heterosexual,[],Jason Eric Peterson (2026 - 2100),693-60-8301,11:49 AM,Mrs.,Gold 2012 Ford F350 Super Duty Regular Cab - Pickup - 37-U835,142.1,2038 -  
62,Senior (Deceased),B-,BBdd,20.3,True,True,[P3b4b],2037-02-24,2100-01-01,Male,Driver's License: G43QSJP4 - Exp: Jan 2100,Personal: michellevalentine@hokmail.com,ExploreEscape Adventures (2097) - Hospitality: Other,Blue,Michelle,"5' 8""",135 lbs,Michelle Jill Brown,Female,F,3,Black,Unkempt,68.5,"Home: 7325 Wendy Ridge  - Apt. 888, Lake Christine, NM - 87391",P9ef4,False,True,Brown,Valentine,Blushes a lot,Married,Jill,"Odd, Artificial, Scheming",Busy,Mickey,[],Passport: O13470598 - Exp: Dec 2107,"[LearnCenter High (2098) - Education: Public 10-12, FinanceVault Capital (2084) - Finance: Bank, Style Pastime (1948) - Entertainment: Hobbies, Fund Tech Bank (2093) - Finance: Bank, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, Select Store Gadget (2099) - Retail: Electronics, Delicious Eats Bistro (2095) - Food and Beverage: Restaurant, Well Care Care (2097) - Healthcare: Hospital, ExploreEscape Adventures (2097) - Hospitality: Other, Route Ways Transfer (2099) - Transportation: Relocation, Capital Edge Finance (2096) - Finance: Bank, Dinero Finance (2090) - Finance: Bank, Tour Escape Stay (2099) - Hospitality: Hotels, FeastCuisine Taste (2040) - Food and Beverage: Restaurant, A Taste of Delight Go (2089) - Food and Beverage: Fast Food]","Animal(name='Ziggy', animal_type='Reptile', breed='Russian Tortoise', age=7, gender='Female')",Cell: (265) 684-4231,"Deep, Discreet, Incorruptible",Employee: General,Heterosexual,[],Donald Adam Brown (2024 - 2100),131-62-1503,06:58 AM,Mrs.,Black 2017 Toyota Yaris - Hatchback - IYW B42,135.3,2037 - 2100
63,Senior (Deceased),B+,BODD,21.0,True,True,[],2036-02-21,2099-07-24,Female,Driver's License: W88HYPV5 - Exp: May 2107,Personal: michelleharris342@kmail.com,Style Chic Novels (2098) - Entertainment: Books,Brown,Michelle,"5' 9""",142 lbs,Michelle Lindsey Harris,Female,F,3,Black,Touseled,68.9,"Home: 315 Dalton Islands  - Apt. 234, East Frankport, OH - 43175",Paa2f,False,True,Harris,,Only drinks gourmet tea for a caffeine fix,Single,Lindsey,"Predatory, Inert, Assertive",Aggressive,Mickey,[],Passport: P54291301 - Exp: Jun 2100,"[Knowledge Elementary School (2097) - Education: Public K-6, LearnCenter High (2098) - Education: Public 10-12, FinanceVault Capital (2084) - Finance: Bank, Style Pastime (1948) - Entertainment: Hobbies, Fund Tech Bank (2093) - Finance: Bank, Yum Delight Quick (2007) - Food and Beverage: Fast Food, Institute Place Trade (2090) - Education: Technical / Trade School, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, TrendOutlet Bulk (2074) - Retail: Wholesale, Well Care Care (2097) - Healthcare: Hospital, Leisure Journey World (2046) - Hospitality: Theme Park, ExploreEscape Adventures (2097) - Hospitality: Other, Route Ways Transfer (2099) - Transportation: Relocation, Capital Edge Finance (2096) - Finance: Bank, Go Ways Rentals (2090) - Automotive: Rental, StayGetaway Explore (2096) - Hospitality: Other, Dinero Finance (2090) - Finance: Bank, LogicSolutions Wireless (2098) - Technology: Mobile Providers]","Animal(name='Sushi', animal_type='Dog', breed='Tosa', age=12, gender='Male')",Cell: (584) 930-9228,"Pruposeful, Lyrical, Directed",Manager: General,Homosexual,[],,648-32-1062,07:38 AM,Ms.,,142.0,2036 - 2099
75,Senior (Deceased),B+,BBDD,23.4,True,True,[P83cf],2024-08-26,2100-01-01,Male,Driver's License: Z17KKTJ2 - Exp: Nov 2102,Personal: lindacarrillo@kmail.com,Well Care Care (2097) - Healthcare: Hospital,Brown,Linda,"5' 4""",136 lbs,Linda Brenda Carrillo,Female,F,3,Black,Curly,63.9,"Home: 521 Harvey Ford, South Tracyshire, SC - 29799",P07aa,False,True,Carrillo,,Looks to the left often,Married,Brenda,"Obnoxious, Selfish, Gloomy",Unpatriotic,Lindy,[],Passport: R81425180 - Exp: Oct 2107,"[Knowledge Elementary School (2097) - Education: Public K-6, WealthHub Invest (2097) - Finance: Investment Firm, LearnCenter High (2098) - Education: Public 10-12, FinanceVault Capital (2084) - Finance: Bank, Style Pastime (1948) - Entertainment: Hobbies, Fund Tech Bank (2093) - Finance: Bank, Play Pastime (2095) - Entertainment: Hobbies, ZoomWagon Repair (1919) - Automotive: Mechanic, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, InvestTech Fund (2098) - Finance: Investment Firm, Commute Express Courier (2073) - Transportation: Courier / Delivery, TrendOutlet Bulk (2074) - Retail: Wholesale, Well Care Care (2097) - Healthcare: Hospital, ExploreEscape Adventures (2097) - Hospitality: Other, Route Ways Transfer (2099) - Transportation: Relocation, Capital Edge Finance (2096) - Finance: Bank, Go Ways Rentals (2090) - Automotive: Rental, StayGetaway Explore (2096) - Hospitality: Other, KnowledgeCampus Middle (2098) - Education: Public 7-9, City Ways Repair (2090) - Automotive: Mechanic, LogicSolutions Wireless (2098) - Technology: Mobile Providers, A Taste of Delight Go (2089) - Food and Beverage: Fast Food]","Animal(name='Tiger', animal_type='Cat', breed='Oriental Longhair', age=5, gender='Female')",Cell: (939) 939-7594,"Liberal, Thorough, Honest",Employee: General,Heterosexual,[],Matthew Brendan Ramirez (2020 - 2097),837-58-3328,05:04 AM,Mrs.,Black 1998 Cadillac Seville - Sedan - SS7 5580,135.9,2024 - 2100
