first_name,middle_name,last_name,nickname,title,gender,sexual_orientation,ssn,date_of_birth,time_of_birth,date_of_death,hair_color,hair_type,eye_color,height,weight,mannerisms,passport_num,passport_issue_date,passport_exp_date,phone_number,email,home,vehicle,drivers_license,marital_status,spouse,age,full_name,gender_abbr,format_weight,format_height,vehicle_details
Katherine,Susan,Carroll,,Ms.,Female,Homosexual,112-03-3426,2015-10-24,11:43 AM,,Brown,Frizzy,Amber,63.0,135.4,Body language doesn't match words spoken,G69202227,2016-05-03,2026-05-03,Cell: (975) 223-3148,Personal: katherinecarroll649@outkook.com,"Home: 5527 Smith Crescent, South Bradleyland, SD - 57511",Brown 2010 Buick Lucerne - Sedan - 4Q V8008,"DriversLicense(number='V84FCYG9', issue_date=datetime.date(2023, 8, 11), exp_date=datetime.date(2029, 9, 27), restrictions='None')",Single,,,,,,,
Becky,Katie,Carroll,,Mx.,Nonbinary,Homosexual,712-58-7917,2022-01-26,09:52 PM,,Red,Touseled,Amber,64.9,152.1,Wears expensive name-brand clothing/shoes,V64292835,2021-03-27,2031-03-27,Cell: (874) 764-3371,Personal: beckycarroll@kcloud.com,"Home: 763 Kelley Islands - Apt. 418, Aliciamouth, WA - 99220","Brown 2001 Mitsubishi Eclipse - Hatchback, Convertible - 93W NC5","DriversLicense(number='Z17BCVY2', issue_date=datetime.date(2023, 3, 14), exp_date=datetime.date(2030, 3, 5), restrictions='None')",Single,,,,,,,
Jeremiah,,Sims,,Mx.,Nonbinary,Heterosexual,896-36-6155,2004-06-29,08:47 PM,,Red,Frizzy,Brown,71.9,129.5,Drinks brandy out of a snifter,E84581405,2018-09-13,2028-09-13,Cell: (631) 749-0958,Personal: jeremiahsims913@hokmail.com,"Home: 30964 Hall Mountain, Kevinburgh, MN - 55285",Green 1994 GMC Suburban 1500 - SUV - 42U U26,"DriversLicense(number='S47TNNC8', issue_date=datetime.date(2020, 9, 22), exp_date=datetime.date(2031, 9, 7), restrictions='None')",Single,,,,,,,
John,Brian,Sims,,Mr.,Male,Homosexual,417-56-2256,2016-07-16,08:27 AM,,White,Spiky,Hazel,69.8,179.8,Displays physical affection often with another,A58911176,2015-03-30,2025-03-30,Cell: (214) 569-1462,Personal: jsims16@yakoo.com,"Home: 8851 Villanueva Wells, North Christinaborough, WA - 99164","Gold 2006 Honda Accord - Sedan, Coupe - 644-EZZ","DriversLicense(number='O42KYME8', issue_date=datetime.date(2024, 1, 7), exp_date=datetime.date(2030, 11, 9), restrictions='B - Corrective Lenses')",Single,,,,,,,
Erica,Maria,Sims,,Ms.,Female,Homosexual,265-50-4178,2015-08-06,09:35 PM,,White,Touseled,Blue,63.0,114.5,Raises eyebrow often while others are talking,U48358339,2022-05-18,2032-05-18,Cell: (648) 159-9187,Personal: ericasims15@outkook.com,"Home: 579 Smith Rapid, New Jillianshire, MO - 63180",White 2020 Nissan NV3500 HD Passenger - Van/Minivan - QJZ-755,"DriversLicense(number='P21VFVJ9', issue_date=datetime.date(2020, 9, 23), exp_date=datetime.date(2030, 2, 7), restrictions='B - Corrective Lenses')",Single,,,,,,,
Shelby,,Sims,,Mx.,Nonbinary,Bisexual,889-40-5263,2015-11-05,11:54 AM,,Brown,Frizzy,Grey,69.5,133.3,Laughs to fill uncomfortable silences,B86369634,2017-04-21,2027-04-21,Cell: (503) 300-1209,Personal: shelbysims15@outkook.com,"Home: 8144 Joel Club - Suite 753, Crystalstad, ND - 58542","Gray 1996 Dodge Neon - Sedan, Coupe - W00 0WC","DriversLicense(number='R31XSER5', issue_date=datetime.date(2023, 6, 14), exp_date=datetime.date(2031, 7, 12), restrictions='None')",Single,,,,,,,
Sydney,,Sims,Sid,Mx.,Nonbinary,Heterosexual,755-91-9492,2000-08-08,12:41 PM,,Brown,Unkempt,Blue,62.3,155.8,"Says ""ha!"" in a sarcastic tone",J17872385,2017-05-26,2027-05-26,Cell: (216) 811-9927,Personal: ssims00@free.net,"Home: 2495 Lambert Lock, West Gina, DE - 19770",Blue 2017 Nissan Armada - SUV - 32-YW73,"DriversLicense(number='Z28JQBZ5', issue_date=datetime.date(2022, 1, 1), exp_date=datetime.date(2028, 4, 16), restrictions='None')",Single,,,,,,,
Jeffery,James,Ross,Jamie,Mr.,Male,Homosexual,875-76-2278,1969-09-18,09:23 PM,,Red,Spiky,Hazel,69.9,180.6,Stares in the distance,W89200316,2016-03-14,2026-03-14,Cell: (501) 802-6530,Personal: jefferyross918@yakoo.com,"Home: 46856 Thomas Island - Suite 108, Christopherberg, MA - 02084",Black 2004 Pontiac Sunfire - Coupe - 41-7538K,"DriversLicense(number='I08ADEI3', issue_date=datetime.date(2022, 3, 9), exp_date=datetime.date(2029, 7, 4), restrictions='B - Corrective Lenses')",Single,,,,,,,
Meghan,Leslie,Ross,Les,Ms.,Female,Bisexual,859-10-6070,1969-08-03,02:01 PM,,White,Spiky,Brown,62.3,137.9,Pauses while speaking a lot,Z45625601,2015-09-29,2025-09-29,Cell: (609) 264-1071,Personal: meghanross18@outkook.com,"Home: 303 Joy Valleys - Apt. 100, Hernandezmouth, SD - 57678",Silver 2009 Dodge Ram 3500 Quad Cab - Pickup - A90-10Z,"DriversLicense(number='H98SKMD5', issue_date=datetime.date(2020, 9, 20), exp_date=datetime.date(2029, 7, 6), restrictions='B - Corrective Lenses')",Single,,,,,,,
Edward,Rachel,Ross,,Mx.,Nonbinary,Heterosexual,166-54-0949,1950-05-11,02:28 AM,,White,Spiky,Blue,61.8,152.1,Rolls eyes,Z77795471,2021-11-10,2031-11-10,Cell: (315) 959-4013,Personal: edwardross@hokmail.com,"Home: 252 Hall Corners, New Patrick, DE - 19974","Tan 2016 Chevrolet Camaro - Coupe, Convertible - PGV 274","DriversLicense(number='T66EOLB8', issue_date=datetime.date(2022, 9, 16), exp_date=datetime.date(2028, 6, 23), restrictions='B - Corrective Lenses')",Single,,,,,,,
