first_name,middle_name,last_name,nickname,title,gender,sexual_orientation,ssn,date_of_birth,time_of_birth,date_of_death,hair_color,hair_type,eye_color,height,weight,mannerisms,passport_num,passport_issue_date,passport_exp_date,phone_number,email,home,vehicle,drivers_license,marital_status,spouse,age,full_name,gender_abbr,format_weight,format_height,vehicle_details
Stephanie,Tina,James,,Ms.,Female,Heterosexual,235-32-1512,2014-02-04,06:12 AM,,Black,Unkempt,Brown,63.5,133.2,Picks at cuticles and skin around the fingernails,M31727221,2018-07-30,2028-07-30,Cell: (338) 469-2022,Personal: sjames24@kmail.com,"Home: 0171 Jason Roads, East Shawn, PA - 16232",Gray 2019 Land Rover Discovery - SUV - 132 6VF,"DriversLicense(number='N12RWOD7', issue_date=datetime.date(2023, 3, 2), exp_date=datetime.date(2031, 4, 5), restrictions='None')",Single,,,,,,,
Phyllis,Karen,James,,Ms.,Female,Heterosexual,731-96-1121,2012-04-19,03:59 PM,,Black,Spiky,Brown,66.4,148.1,Wears headphones or hats often,P42613213,2015-10-12,2025-10-12,Cell: (667) 442-9283,Personal: pjames12@hokmail.com,"Home: 797 Wilkins Mount - Apt. 976, Teresaborough, OH - 45018",White 2014 Mitsubishi Mirage - Hatchback - 18YY7,"DriversLicense(number='M37GTNI4', issue_date=datetime.date(2020, 1, 6), exp_date=datetime.date(2030, 1, 27), restrictions='None')",Single,,,,,,,
Stephen,,James,,Mr.,Male,Heterosexual,287-47-8200,2012-05-04,07:06 AM,,Black,Frizzy,Brown,72.8,186.1,Is sleepless,N40645368,2017-01-21,2027-01-21,Cell: (952) 224-0291,Personal: james943@outkook.com,"Home: 3434 Erin Rue - Suite 850, Hoville, KY - 42191",Silver 2011 Maybach 62 - Sedan - FFF J89,"DriversLicense(number='X52CNQQ4', issue_date=datetime.date(2021, 7, 25), exp_date=datetime.date(2029, 5, 6), restrictions='None')",Single,,,,,,,
Teresa,Andrea,Owens,,Ms.,Female,Heterosexual,702-75-1707,2020-02-20,08:42 AM,,Black,Straight,Blue,64.5,126.5,Blinks often,Z11657612,2021-02-21,2031-02-21,Cell: (616) 967-3536,Personal: teresaowens220@kmail.com,"Home: 69146 Carlos Glen, Lake Michael, MS - 39707",Gray 2006 Dodge Ram 2500 Mega Cab - Pickup - HPD 680,"DriversLicense(number='W97TCRX0', issue_date=datetime.date(2022, 7, 10), exp_date=datetime.date(2029, 12, 14), restrictions='None')",Single,,,,,,,
Robert,Gregory,Owens,,Mr.,Male,Heterosexual,616-66-4037,2020-12-09,12:10 PM,,Blonde,Wavy,Grey,61.8,160.6,Shows off expensive jewelry,C43784755,2022-07-19,2032-07-19,Cell: (936) 466-0073,Personal: rowens@kmail.com,"Home: 248 Michael Forges, New Debra, NH - 03527",White 2016 Mercedes-Benz Mercedes-AMG GLE Coupe - SUV - 5VQ 681,"DriversLicense(number='O31KGIU6', issue_date=datetime.date(2023, 11, 24), exp_date=datetime.date(2028, 12, 17), restrictions='B - Corrective Lenses')",Single,,,,,,,
Sean,Frank,Owens,,Mr.,Male,Heterosexual,839-24-9254,2021-02-02,01:38 AM,,Black,Curly,Brown,73.3,160.7,Changes tone of voice at odd points,X53221000,2017-03-05,2027-03-05,Cell: (269) 206-4047,Personal: seanowens@kmail.com,"Home: 94225 Gonzalez Mall, Youngton, CA - 96150",Black 2005 Pontiac GTO - Coupe - 6PH 134,"DriversLicense(number='M55ELVO8', issue_date=datetime.date(2020, 7, 29), exp_date=datetime.date(2030, 6, 1), restrictions='None')",Single,,,,,,,
Leah,Phyllis,Sims,,Ms.,Female,Heterosexual,121-76-7743,1952-01-22,10:22 PM,,Brown,Straight,Hazel,65.9,159.1,Constantly swallowing,Q73412854,2014-12-08,2024-12-08,Cell: (458) 479-4591,Personal: leahsims52@outkook.com,"Home: 17872 Walter Highway - Apt. 890, Lake Jenniferbury, RI - 02886",Gray 1997 Chevrolet 3500 Crew Cab - Pickup - 8JN5691,"DriversLicense(number='X61RXTJ0', issue_date=datetime.date(2020, 5, 7), exp_date=datetime.date(2029, 5, 6), restrictions='None')",Single,,,,,,,
Kendra,Laurie,Sims,,Ms.,Female,Heterosexual,405-65-5200,1952-08-27,08:15 AM,,Black,Curly,Brown,64.3,124.1,Toys with rings,V17538050,2023-02-06,2033-02-06,Cell: (716) 512-2584,Personal: ksims52@kmail.com,"Home: 0738 Katherine Branch, East Charlesville, ID - 83263",White 2011 Acura RDX - SUV - 430 XAL,"DriversLicense(number='B32AYOE1', issue_date=datetime.date(2021, 4, 9), exp_date=datetime.date(2031, 2, 24), restrictions='None')",Single,,,,,,,
Megan,Lynn,Brown,Meg,Ms.,Female,Heterosexual,689-67-8049,1999-12-27,05:26 PM,,Black,Frizzy,Brown,57.1,144.9,Pinches lips together tightly,Y90103598,2020-04-01,2030-04-01,Cell: (774) 123-7261,Personal: brown981@kmail.com,"Home: 445 Hernandez Lake, Smithville, MA - 01116",White 1993 GMC Rally Wagon 1500 - Van/Minivan - 5FV24,"DriversLicense(number='G38RFNX6', issue_date=datetime.date(2023, 12, 21), exp_date=datetime.date(2028, 5, 15), restrictions='B - Corrective Lenses')",Single,,,,,,,
Joann,,Brown,,Ms.,Female,Heterosexual,875-13-7446,1996-02-29,03:31 AM,,Brown,Frizzy,Hazel,67.0,138.3,Locked ankles,V79292673,2016-06-11,2026-06-11,Cell: (907) 165-4413,Personal: joannbrown96@kcloud.com,"Home: 248 Jennifer Mountain, Jensenview, TN - 38023",Blue 2013 MINI Clubman - Hatchback - 94B 1782,"DriversLicense(number='Y19KOIV4', issue_date=datetime.date(2023, 11, 15), exp_date=datetime.date(2030, 3, 7), restrictions='None')",Single,,,,,,,
Kelly,Christy,Snyder,,Ms.,Female,Heterosexual,541-73-5998,1943-05-15,10:46 AM,,Blonde,Straight,Brown,64.7,151.6,Always carries a gun,E18915011,2018-10-27,2028-10-27,Cell: (169) 393-2000,Personal: ksnyder43@kmail.com,"Home: 979 Moore Neck - Suite 670, Dixonstad, KS - 67375",Black 1996 INFINITI J - Sedan - 7RO T04,"DriversLicense(number='K92ICYH5', issue_date=datetime.date(2022, 11, 4), exp_date=datetime.date(2030, 4, 19), restrictions='D - Daytime Only')",Single,,,,,,,
