id,gender,first_name,middle_name,last_name,nickname,ssn,sexual_orientation,age,generation,date_of_birth,time_of_birth,date_of_death,hair_color,hair_type,eye_color,height,weight,blood_type_allele,mannerisms,positive_traits,neutral_traits,negative_traits,phone_number,email,passport,drivers_license,home,vehicle,bank_account,pet,marital_status,spouse,maiden_name,children,siblings,parent_a,parent_b,employer,role,salary,work_days,work_hours,patron_of,list_of_family,is_alive,parents,can_work,can_marry,is_working,age_group,full_name,name,title,gender_abbr,desired_gender,body_mass_index,format_weight,format_height,years_lived,blood_type
P08fe,Female,Nicole,Katherine,Griffin,,335-02-4706,Heterosexual,63,3,2036-05-04,07:04 AM,2100-01-01,Black,Unkempt,Brown,65.3,160.6,AAdd,Foot kicking slightly,"Tractable, Charismatic, Solid",Determined,"Easily Discouraged, Difficult, Hedonistic",(874) 764-3371,Personal: ngriffin36@kmail.com,Passport: F92835634 - Exp: Jan 2103,Driver's License: N93QVDO5 - Exp: Jul 2099,"Residence (val:3/size:2): 3A East Larch Street - Apartment H9, Baxter Center, Dumphrey - 00000",Gray 2014 Volvo XC90 - SUV - 0H 9649G,"Bank Account (192126596): $8,166.27","Animal(name='Faith', animal_type='Dog', breed='Drentse Patrijshond', age=8, gender='Female')",Married,Billy Russell Phillips (2033 - 2080),,"[Pf87f, P4c47, P1b6d, Pe3a9]",[],,,Foodr (2001) - Grocery,Owner: General,3000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P8d43, Pf87f, P4c47, P1b6d, Pe3a9]",False,,True,True,True,Senior (Deceased),Nicole Katherine Griffin,Nicole Griffin,Mrs.,F,Male,26.5,161 lbs,"5' 5""",2036 - 2100,A-
P4605,Female,Shelly,,Stokes,,663-95-5642,Heterosexual,73,3,2026-11-18,04:49 PM,2100-01-01,Brown,Wavy,Brown,65.6,152.5,OODd,Puts fingers to forehead while shaking head,"Punctual, Freethinking, Curious",Deceptive,"Procrastinating, Unfriendly, Misguided",(952) 224-0291,Personal: ssnyder879@yakoo.com,Passport: L64536862 - Exp: Feb 2100,Driver's License: F12JRTW2 - Exp: Jul 2105,"Residence (val:2/size:4): 45 Greenaway Road - Apartment 102, Baxter Center, Dumphrey - 00000","Silver 1992 Daihatsu Charade - Sedan, Hatchback - WVA6216","Bank Account (966121917): $48,890.27","Animal(name='Freddie', animal_type='Dog', breed='Portuguese Pointer', age=4, gender='Male')",Married,Danny Michael Stokes (2037 - 2100),Snyder,"[P434d, Pa848]",[],,,Flexin (2001) - Gym,Owner: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P73fd, P434d, Pa848]",False,,True,True,True,Senior (Deceased),Shelly Stokes,Shelly Stokes,Mrs.,F,Male,24.9,152 lbs,"5' 6""",2026 - 2100,O+
P551d,Female,Melinda,Sarah,Green,Mel,882-09-6802,Heterosexual,64,3,2035-05-10,11:22 PM,,Blonde,Spiky,Brown,67.0,124.6,OODD,Loses appetite,"Gallant, Reflective, Humble",Retiring,"Dissonant, Unimaginative, Puritanical",(722) 371-1657,Personal: mcrosby35@yakoo.com,Passport: K74287562 - Exp: Sep 2104,Driver's License: I89MIZS0 - Exp: Mar 2099,"Residence (val:3/size:4): 27 West Chestnut Street - Apartment 1107, Baxter Center, Dumphrey - 00000",Silver 2018 Chevrolet Silverado 1500 Regular Cab - Pickup - 98U VP3,"Bank Account (680857970): $60,254.65","Animal(name='Kiwi', animal_type='Bird', breed='Finch', age=6, gender='Female')",Married,Brandon Todd Green (2021 -  ),Crosby,"[Pc19e, P9895, P9576, P67ef, P62bf]",[],,,Fitr (2001) - Gym,Trainer: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P7ac4, Pc19e, P9895, P9576, P67ef, P62bf]",True,,True,True,True,Senior,Melinda Sarah Green,Mel Green,Mrs.,F,Male,19.5,125 lbs,"5' 7""",2035 -  ,O+
Pa913,Female,Jessica,,Lewis,Jess,507-23-1560,Homosexual,62,3,2037-02-08,08:53 AM,2100-01-01,Black,Wavy,Hazel,68.2,127.0,OODD,Clenches fist,"Precise, Gracious, Kind",Sarcastic,"Angry, Astigmatic, Aloof",(617) 924-5988,Personal: jessicalewis306@kmail.com,Passport: K67534584 - Exp: Apr 2101,Driver's License: H69JBYF6 - Exp: Jun 2101,"Residence (val:3/size:4): 27 West Chestnut Street - Apartment 205, Baxter Center, Dumphrey - 00000",,"Bank Account (209422586): $5,386.02","Animal(name='Sweet', animal_type='Dog', breed='Greenland Dog', age=13, gender='Male')",Married,Erin Mallory Lewis (2033 - 2100),,"[P1e60, Pcec0]",[],,,Fitr (2001) - Gym,Trainer: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P2b2e, P1e60, Pcec0]",False,,True,True,True,Senior (Deceased),Jessica Lewis,Jess Lewis,Mrs.,F,Female,19.2,127 lbs,"5' 8""",2037 - 2100,O+
Pf654,Male,Randy,Jimmy,Brewer,,054-98-0922,Homosexual,61,3,2030-09-08,04:05 AM,2091-09-23,Brown,Straight,Brown,82.1,162.8,AADd,Wears a cravat,"Vivacious, Impressive, Constant",Idiosyncratic,"Steely, Disloyal, Reactionary",(522) 168-2784,Personal: randybrewer597@outkook.com,Passport: V13424955 - Exp: Mar 2098,Driver's License: X11ROFH7 - Exp: Aug 2096,"Residence (val:5/size:5): 34 East Maple Street, Baxter Center, Dumphrey - 00000",Black 2005 Kia Sportage - SUV - 7O 3Y4WHE,"Bank Account (119927159): $7,089.55",,Single,,,[],[],,,Foodr (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],False,,True,True,True,Senior (Deceased),Randy Jimmy Brewer,Randy Brewer,Mr.,M,Male,17.0,163 lbs,"6' 10""",2030 - 2091,A+
P8d43,Male,Billy,Russell,Phillips,,877-53-9203,Heterosexual,46,3,2033-03-16,05:31 AM,2080-01-03,Black,Frizzy,Brown,68.9,189.8,BODd,Wears clothing with cartoon figures,"Selfless, Compassionate, Balanced",Intense,"Troublesome, Moody, Graceless",(421) 189-2527,Personal: billyphillips390@kmail.com,Passport: C73892003 - Exp: Jan 2080,Driver's License: P54LHRA1 - Exp: Feb 2085,"Residence (val:3/size:2): 3A East Larch Street - Apartment H9, Baxter Center, Dumphrey - 00000",Black 2011 Mercedes-Benz R-Class - Wagon - 0DX 543,"Bank Account (211122584): $36,131.78","Animal(name='Marshmallow', animal_type='Dog', breed='Cimarrón Uruguayo', age=4, gender='Male')",Married,Nicole Katherine Griffin (2036 - 2100),,"[Pf87f, P4c47, P1b6d, Pe3a9]",[],,,youGrocery (2001) - Grocery,Secretary: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P08fe, Pf87f, P4c47, P1b6d, Pe3a9]",False,,True,True,True,Middle Age (Deceased),Billy Russell Phillips,Billy Phillips,Mr.,M,Female,28.1,190 lbs,"5' 9""",2033 - 2080,B+
P8568,Male,Jesus,Ryan,Byrd,Ry,441-20-5930,Homosexual,70,3,2027-06-15,06:59 PM,2097-07-19,Blonde,Unkempt,Blue,75.5,146.0,ABDd,Wears a scarf often,"Individualistic, Cooperative, Logical",Physical,"Plodding, Messy, Abrasive",(421) 137-2616,Personal: jesusbyrd@kmail.com,Passport: F98539561 - Exp: Jan 2103,Driver's License: M13GRFN8 - Exp: Aug 2101,"Residence (val:5/size:4): 25 West Alder Street, Baxter Center, Dumphrey - 00000",Silver 2003 MINI Cooper - Hatchback - 17L IP8,"Bank Account (391125243): $27,571.79","Animal(name='Finley', animal_type='Fish', breed='Discus Fish', age=6, gender='Female')",Single,,,[],[],,,StrongLink (2001) - Gym,Owner: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],False,,True,True,True,Senior (Deceased),Jesus Ryan Byrd,Ry Byrd,Mr.,M,Male,18.0,146 lbs,"6' 4""",2027 - 2097,AB+
P26e4,Female,Stephanie,,Dominguez,,688-18-7835,Heterosexual,65,3,2034-07-02,01:05 AM,,Black,Spiky,Brown,62.6,143.1,BODD,Laughs a lot,"Tractable, Energetic, Observant",Stylish,"Frivolous, Confused, Malicious",(471) 564-2108,Personal: scrawford72@outkook.com,Passport: P81945741 - Exp: Mar 2102,Driver's License: P42ONPB6 - Exp: Nov 2107,"Residence (val:5/size:8): 211 North Route 66 - Apt. 13, Baxter Center, Dumphrey - 00000",,"Bank Account (271444897): $156,720.47","Animal(name='Chloe', animal_type='Cat', breed='Australian Mist', age=11, gender='Male')",Married,Glenn Dominguez (2039 - 2100),Crawford,[P0110],[],,,Fitr (2001) - Gym,Owner: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P807c, P0110]",True,,True,True,True,Senior,Stephanie Dominguez,Stephanie Dominguez,Mrs.,F,Male,25.7,143 lbs,"5' 3""",2034 -  ,B+
P22de,Female,Courtney,,Porter,Curt,813-76-1265,Heterosexual,77,3,2022-03-20,02:32 AM,,Brown,Curly,Amber,66.8,124.9,BOdd,Rests head in hands,"Gracious, Exciting, Caring",Unpatriotic,"Hostile, Egocentric, Disorganized",(974) 331-4740,Personal: cfrank320@kmail.com,Passport: X97042892 - Exp: Jun 2107,Driver's License: N39KLVG8 - Exp: Dec 2102,"Residence (val:2/size:4): 45 Greenaway Road - Apartment 509, Baxter Center, Dumphrey - 00000",Black 1999 Ford Econoline E250 Cargo - Van/Minivan - 843 VYE,"Bank Account (910345760): $70,684.96","Animal(name='Panda', animal_type='Dog', breed='Poodle', age=4, gender='Female')",Married,Ross Daniel Porter (2030 -  ),Frank,[],[],,,youGrocery (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[P94f6],True,,True,True,True,Senior,Courtney Porter,Curt Porter,Mrs.,F,Male,19.7,125 lbs,"5' 7""",2022 -  ,B-
Pe16e,Transgender,Ryan,Brad,Pollard,,824-93-6138,Heterosexual,76,3,2021-10-02,11:35 AM,2098-03-17,Black,Straight,Blue,67.3,141.5,BBdd,Wears dark or muted colors,"Knowledge, Seraphic, Open",Impersonal,"Foolish, Ignorant, Frightening",(919) 593-3614,Personal: rpollard102@kmail.com,Passport: O67766256 - Exp: Jul 2105,Driver's License: S67OYGI9 - Exp: Feb 2106,"Residence (val:3/size:2): 3A East Larch Street - Apartment C3, Baxter Center, Dumphrey - 00000",Black 2015 Aston Martin Rapide S - Sedan - O38 7SG,"Bank Account (291393028): $22,493.01",,Single,,,[],[],,,AffordableHub (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],False,,True,True,True,Senior (Deceased),Ryan Brad Pollard,Ryan Pollard,Mx.,T,Transgender,22.0,142 lbs,"5' 7""",2021 - 2098,B-
P90e2,Female,Karen,Elizabeth,Johnson,,267-27-4909,Homosexual,61,3,2038-12-12,03:50 AM,2100-01-01,Black,Frizzy,Blue,61.0,134.1,AODD,Apologizes a lot,"Charming, Cooperative, Patriotic",Old-fashined,"Domineering, Arrogantt, Secretive",(665) 645-3971,Personal: kjohnson1212@kmail.com,Passport: W59635819 - Exp: Oct 2101,Driver's License: F24AXON9 - Exp: Aug 2104,"Residence (val:3/size:4): 27 West Chestnut Street - Apartment 411, Baxter Center, Dumphrey - 00000",Black 2009 Dodge Sprinter 2500 Cargo - Van/Minivan - LNT-2191,"Bank Account (740408886): $34,715.09","Animal(name='Bella', animal_type='Cat', breed='Sam Sawet', age=8, gender='Male')",Single,,,[],[],,,AffordableHub (2001) - Grocery,Manager: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],False,,True,True,True,Senior (Deceased),Karen Elizabeth Johnson,Karen Johnson,Ms.,F,Female,25.3,134 lbs,"5' 1""",2038 - 2100,A+
P808c,Male,Paul,Aaron,Garcia,,365-73-5476,Heterosexual,71,3,2028-07-01,01:21 PM,2100-01-01,Black,Curly,Brown,70.0,175.3,BBDD,Holds eye contact when interacting,"Sage, Trusting, Courteous",Stoiid,"Uncooperative, Conformist, Inconsiderate",(108) 934-1834,Personal: paulgarcia@kmail.com,Passport: G67946807 - Exp: Sep 2102,Driver's License: P65TOKT8 - Exp: Nov 2099,"Residence (val:4/size:4): 31 West Chestnut Street - Apartment B3, Baxter Center, Dumphrey - 00000",,"Bank Account (729180041): $17,769.88",,Married,Katherine Cathy Garcia (2022 -  ),,"[Peb2d, P007c, Pf20b]",[],,,youGrocery (2001) - Grocery,Secretary: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[Pcbe0, Peb2d, P007c, Pf20b]",False,,True,True,True,Senior (Deceased),Paul Aaron Garcia,Paul Garcia,Mr.,M,Female,25.2,175 lbs,"5' 10""",2028 - 2100,B+
P1ad2,Female,Marcia,Shelly,Owens,,326-51-0264,Homosexual,63,3,2036-12-09,09:14 PM,2100-01-01,Black,Spiky,Hazel,64.1,135.4,AAdd,Speaks multiple languages,"Patient, Cultured, Stable",Noncommittal,"Domineering, Slow, Ritualistic",(156) 549-0005,Personal: marciaowens129@outkook.com,Passport: V72957078 - Exp: Aug 2107,Driver's License: G15GPSV7 - Exp: May 2101,"Residence (val:1/size:4): 46 Cantor Street - Apartment 1103, Baxter Center, Dumphrey - 00000",Black 2015 Jeep Renegade - SUV - 05-43046,"Bank Account (516370832): $43,375.74",,Single,,,[],[],,,Healthn (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],False,,True,True,True,Senior (Deceased),Marcia Shelly Owens,Marcia Owens,Ms.,F,Female,23.2,135 lbs,"5' 4""",2036 - 2100,A-
P8567,Female,Ann,Dawn,Bryant,,655-37-4600,Heterosexual,66,3,2033-02-25,07:09 AM,,Brown,Unkempt,Blue,65.9,149.8,OODD,Stops to listen to all street musicians,"Insightful, Tidy, Self-sufficent",Noncompetitive,"Ridiculous, Aloof, Anxious",(765) 138-7929,Personal: annbryant119@kmail.com,Passport: F63082249 - Exp: Oct 2107,Driver's License: O41LWHQ0 - Exp: Jan 2101,"Residence (val:1/size:4): 46 Cantor Street - Apartment 304, Baxter Center, Dumphrey - 00000",Gray 2013 Chevrolet Express 1500 Passenger - Van/Minivan - UAR-042,"Bank Account (210786253): $150,261.67","Animal(name='Fudge', animal_type='Rodent', breed='Guinea Pig', age=1, gender='Male')",Married,Justin Barry Crane (2030 - 2099),,"[Pa5af, P91a5]",[],,,youGrocery (2001) - Grocery,Manager: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[Pc2d0, Pa5af, P91a5]",True,,True,True,True,Senior,Ann Dawn Bryant,Ann Bryant,Mrs.,F,Male,24.2,150 lbs,"5' 6""",2033 -  ,O+
P8b58,Male,Todd,Michael,Gomez,Mike,350-66-2795,Heterosexual,71,3,2028-10-22,08:33 AM,,Blonde,Frizzy,Brown,79.8,179.0,ABdd,Wears clothing with sarcastic sayings,"Methodical, Simple, Rational",Conservative,"Cowardly, Mistaken, Sordid",(996) 911-9760,Personal: tgomez1022@kmail.com,Passport: C00969347 - Exp: Dec 2105,Driver's License: B90BPUM7 - Exp: Apr 2099,"Residence (val:1/size:4): 46 Cantor Street - Apartment 1006, Baxter Center, Dumphrey - 00000",White 2020 Jeep Grand Cherokee - SUV - NLE-808,"Bank Account (600619783): $84,081.19","Animal(name='Tuxedo', animal_type='Cat', breed='Persian (Modern)', age=5, gender='Male')",Married,Erica Gina Miranda (2025 -  ),,"[P46a4, P481b]",[],,,Foodr (2001) - Grocery,Employee: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P8eba, P46a4, P481b]",True,,True,True,True,Senior,Todd Michael Gomez,Mike Gomez,Mr.,M,Female,19.8,179 lbs,"6' 8""",2028 -  ,AB-
P9413,Male,Timothy,Brian,Daniel,,069-46-0062,Heterosexual,64,3,2035-02-28,01:57 PM,2100-01-01,Black,Spiky,Hazel,76.3,222.0,BODd,Is disrespectful to waiters/waitresses,"Allocentric, Cheerful, Nonauthoritarian",Unaggressive,"Discourteous, Bewildered, Abrasive",(207) 879-1282,Personal: timothydaniel@kmail.com,Passport: M49636995 - Exp: Jun 2101,Driver's License: M88QRMQ6 - Exp: Oct 2100,"Residence (val:6/size:13): 370 North Route 66 - Apartment 306, Baxter Center, Dumphrey - 00000",Red 1996 Dodge Ram Van 1500 - Van/Minivan - 062-UIN,"Bank Account (737876237): $25,687.50","Animal(name='Norman', animal_type='Dog', breed='Alaskan Malamute', age=0, gender='Male')",Married,Donna Stephanie Daniel (2026 - 2100),,"[P231c, Pa13f, P6139]",[],,,Foodr (2001) - Grocery,Manager: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P5a5a, P231c, Pa13f, P6139]",False,,True,True,True,Senior (Deceased),Timothy Brian Daniel,Timothy Daniel,Mr.,M,Female,26.8,222 lbs,"6' 4""",2035 - 2100,B+
