first_name,middle_name,last_name,nickname,title,gender,sexual_orientation,ssn,date_of_birth,date_of_death,hair_color,hair_type,eye_color,height,weight,mannerisms,phone_number,email,home,vehicle,siblings
Kelsey,Brandi,Torres,NotImplemented,Ms.,Female,Heterosexual,474-72-8814,1912-09-02,,Brown,Frizzy,Hazel,64.3,128.2,Apologizes a lot,Cell: (336) 756-3556,Personal: kelseytorres12@gmail.com,"Home: 47419 Miles Vista - Suite 200, Port Davidland, KY - 42172",Black 2001 Volkswagen GTI - Hatchback - ZC 41440,"[Melody, 2006-03-07 , Michelle, 1941-09-14 ]"
Michelle,Andrea,Torres,NotImplemented,Ms.,Female,Heterosexual,217-63-0457,1941-09-14,,Brown,Frizzy,Brown,60.2,138.8,Hugs arms around himself/herself,Cell: (953) 924-8242,Personal: mtorres98@yahoo.com,"Home: 4561 Laura River - Suite 109, Jaredstad, AK - 99705",Gray 1993 Mercury Cougar - Coupe - 9ZJ5163,"[Melody, 2006-03-07 , Kelsey, 1912-09-02 ]"
Sharon,Laura,Drake,NotImplemented,Ms.,Female,Heterosexual,490-90-7864,1927-10-13,,White,Touseled,Blue,64.5,132.4,Wears mismatched clothing,Cell: (998) 255-4797,Personal: sdrake51@yahoo.com,"Home: 143 Gabriela Brook - Suite 090, West Alyssa, NV - 89796","Black 2009 Ferrari F430 - Coupe, Convertible - 2-0075L","[Scott, 1960-03-31 , Felicia, 1964-01-08 ]"
Felicia,Margaret,Drake,NotImplemented,Ms.,Female,Heterosexual,541-65-4205,1964-01-08,,Red,Frizzy,Grey,64.4,138.1,"Uses phrases like ""did you know that?""",Cell: (204) 493-1295,Personal: feliciadrake18@yahoo.com,"Home: 414 Justin Way - Suite 406, New Christopher, CA - 93224",White 1997 Dodge Grand Caravan Passenger - Van/Minivan - 614 ANV,"[Scott, 1960-03-31 , Sharon, 1927-10-13 ]"
Sean,Russell,Hunt,NotImplemented,Mr.,Male,Heterosexual,333-57-5140,1925-02-17,,Black,Straight,Blue,65.3,130.0,Always loses track of time,Cell: (565) 191-3544,Personal: shunt86@hotmail.com,"Home: 95647 Davis Place, New Jessicaville, DC - 20025",White 2016 Mitsubishi Outlander Sport - SUV - F78-18Z,"[Samuel, 1923-12-10 , James, 1985-01-22 ]"
James,Eric,Hunt,NotImplemented,Mr.,Male,Asexual,822-46-1578,1985-01-22,,Grey,Curly,Brown,71.2,129.0,Doodles absentmindedly,Cell: (184) 802-5243,Personal: jameshunt85@gmail.com,"Home: 34556 Autumn Causeway - Apt. 871, Joyceton, IN - 46585",White 1997 Chevrolet 2500 Extended Cab - Pickup - 4CI C79,"[Samuel, 1923-12-10 , Sean, 1925-02-17 ]"
Amy,Melissa,Harris,NotImplemented,Ms.,Female,Heterosexual,381-61-6910,2016-08-31,,Blonde,Straight,Brown,64.9,131.7,Hates sitting near a stranger,Cell: (768) 147-4408,Personal: aharris@yahoo.com,"Home: 175 Jordan Stream - Suite 123, Robertview, WI - 54013",Red 2000 Chevrolet Express 2500 Cargo - Van/Minivan - 914 ZPU,"[Daniel, 1989-01-10 , Carolyn, 1992-10-13 ]"
Carolyn,Mary,Harris,NotImplemented,Ms.,Female,Heterosexual,375-45-2516,1992-10-13,,Red,Flowing,Hazel,64.7,132.4,Rubbing nose,Cell: (707) 773-2538,Personal: charris92@yahoo.com,"Home: 953 Newton Road, Jonesshire, RI - 02847",Black 2012 Chevrolet Volt - Sedan - VLT0160,"[Daniel, 1989-01-10 , Amy, 2016-08-31 ]"
Erin,Sandra,Combs,NotImplemented,Ms.,Female,Heterosexual,250-94-4165,2020-01-04,,Brown,Frizzy,Brown,66.8,132.7,Points out when a song is off-key,Cell: (616) 417-8667,Personal: ecombs20@gmail.com,"Home: 0845 Patricia River, West Belindaland, WY - 82193",Gray 2015 Nissan Xterra - SUV - 472-PES,"[Cheryl, 2018-03-06 , Eric, 1925-05-18 ]"
Eric,Lance,Combs,NotImplemented,Mr.,Male,Heterosexual,661-99-6002,1925-05-18,,Blonde,Touseled,Brown,68.1,122.7,Plays with index finger,Cell: (971) 372-7238,Personal: ericcombs32@yahoo.com,"Home: 8780 Mcdowell Ridges, New Stephanie, NJ - 08701",Black 2012 Mitsubishi Outlander - SUV - MZ 4157,"[Cheryl, 2018-03-06 , Erin, 2020-01-04 ]"
Daniel,Caleb,White,NotImplemented,Mr.,Male,Heterosexual,684-42-2532,1934-06-17,,Black,Straight,Brown,69.4,152.8,Shakes head while looking upward,Cell: (411) 317-7745,Personal: dwhite34@gmail.com,"Home: 5419 Mary Parkway - Apt. 927, West Gina, OH - 45097",Gray 2010 Cadillac Escalade - SUV - K 665957,"[Mary, 2019-02-12 ]"
Elizabeth,Katherine,Sanford,NotImplemented,Ms.,Female,Heterosexual,036-60-1354,1989-08-04,,Blonde,Frizzy,Hazel,64.0,157.6,Talks about obscure music artists,Cell: (104) 576-5658,Personal: esanford@hotmail.com,"Home: 179 Marsh Ford, Matthewborough, DC - 20024","White 2006 Kia Spectra - Sedan, Hatchback - 9048 WU","[Teresa, 1995-08-26 , Nicole, 2006-11-08 , Joshua, 1936-08-17 , Kaitlin, 1970-02-23 ]"
Nicole,Natalie,Sanford,NotImplemented,Ms.,Female,Heterosexual,555-43-5117,2006-11-08,,Black,Wavy,Brown,68.5,153.0,Wants to meet friends and family,Cell: (909) 661-7114,Personal: nicolesanford55@hotmail.com,"Home: 30027 Barbara Shore - Apt. 009, Brendafort, MS - 39603",Green 2015 Toyota Prius v - Wagon - 0C ZA879,"[Teresa, 1995-08-26 , Elizabeth, 1989-08-04 , Joshua, 1936-08-17 , Kaitlin, 1970-02-23 ]"
Joshua,Andrew,Sanford,NotImplemented,Mr.,Male,Heterosexual,683-77-9603,1936-08-17,,Black,Flowing,Brown,64.1,136.3,Nostrils flare,Cell: (519) 928-9489,Personal: joshuasanford36@gmail.com,"Home: 047 Miller Islands, Port Johnside, FL - 34507",Black 2018 Jeep Cherokee - SUV - 401-UDP,"[Teresa, 1995-08-26 , Elizabeth, 1989-08-04 , Nicole, 2006-11-08 , Kaitlin, 1970-02-23 ]"
Kaitlin,Ashley,Sanford,NotImplemented,Ms.,Female,Heterosexual,123-65-5811,1970-02-23,,Black,Frizzy,Green,63.4,139.2,Wears perfectly coordinated clothing,Cell: (207) 492-2186,Personal: ksanford@gmail.com,"Home: 879 Burton Canyon - Suite 996, North Daniel, DC - 20005",Gray 2014 Nissan GT-R - Coupe - 9QQ6081,"[Teresa, 1995-08-26 , Elizabeth, 1989-08-04 , Nicole, 2006-11-08 , Joshua, 1936-08-17 ]"
